Title,Language,Release_Date,Genres,Runtime,Director,Lead_Actors,IMDb_Rating,BMS_Rating,Avg_Rating
George Reddy,Telugu,22/11/19,"Biopic, Political, Drama",153,Jeevan Reddy,"Sandeep Madhav, Muskaan Khubchandani",6.9,7.2,7.05
Kalki,Telugu,28/06/19,"Action, Crime, Mystery",140,Prashanth Varma,"Rajasekhar, Adah Sharma, Nandita Swetha",6.8,6.5,6.65
Nuvvu Thopu Raa,Telugu,05/03/19,"Drama, Romance",150,Harinath Babu B.,"Sudhakar Komakula, Nitya Shetty",6.8,7,6.9
Happy Journey,Telugu,06/07/19,"Drama, Road Trip, Thriller",110,Venkatesh Naidu,"Anjali, Uttej, Swathi",6.8,6.7,6.75
Jessie,Telugu,15/03/19,"Horror, Thriller",106,Aswani Kumar V.,"Pavani Gangireddy, Abhinav Gomatam",6.7,6.7,6.7
Bailampudi,Telugu,07/12/19,"Action, Drama",115,Raj Nalli,"Harish Vinay, Tanishq Rajan",6.7,7.1,6.9
Madhaveeyam,Telugu,20/12/19,Romantic Drama,137,Vineeth,"Vineeth, Radhika",6.7,7.2,6.95
Arjun Suravaram,Telugu,29/11/19,"Action, Thriller",108,T. Santhosh,"Nikhil Siddharth, Lavanya Tripathi",6.6,6.8,6.7
Rajdooth,Telugu,07/12/19,"Adventure, Drama",130,"Arjun, Carthyk","Meghamsh Srihari, Nakshatra Babu",6.6,6.1,6.35
Undiporaadhey,Telugu,09/06/19,"Romance, Period Drama",139,Naveen Nayani,"Tharun Tej, Lavanya",6.5,7.1,6.8
Akkadokaduntadu,Telugu,25/10/19,"Crime, Comedy, Thriller",120,Siva Kantamneni,"Ram Karthik, Preethi Nigam",6.5,6.1,6.3
118,Telugu,03/01/19,"Action, Mystery, Thriller",120,K. V. Guhan,"Kalyan Ram, Nivetha Thomas, Shalini Pandey",6.4,5.9,6.15
Lakshmi's NTR,Telugu,29/03/19,"Biopic, Political Drama",152,Ram Gopal Varma,"P. Vijay Kumar, Yagna Shetty, Rajasekhar Aningi",6.4,5.9,6.15
2 Hours Love,Telugu,05/10/19,"Romance, Drama",150,Deepak Balan,"Prajit Neel, Megha Gupta",6.4,6.4,6.4
Prati Roju Pandaage,Telugu,17/10/19,"Drama, Family",146,Maruthi,"Sai Dharam Tej, Sathyaraj, Rohini",6.3,6.5,6.4
Gaddalakonda Ganesh,Telugu,20/09/19,"Action, Comedy, Drama",130,Harish Shankar,"Varun Tej, Pooja Hegde, Atharvaa",6.3,6.7,6.5
Falaknuma Das,Telugu,07/05/19,"Crime, Thriller, Drama",145,Vishwak Sen,"Vishwak Sen, Uttej, Santhy Balachandran",6.3,6,6.15
Krishna Rao Supermarket,Telugu,14/04/19,Drama,149,Sreenath Pulakuram,"Krishna, Elsa Ghosh",6.3,6.3,6.3
Yedu Chepala Katha,Telugu,23/08/19,"Comedy, Romance",124,Karthikeya Gummakonda,"Ravi, Bhavana Nandi",6.2,5.8,6
Guna 369,Telugu,11/08/19,"Action, Crime, Drama",146,Arjun,Karthikeya Gummakonda,6.2,6.4,6.3
Meeku Maathrame Chepta,Telugu,19/07/19,"Comedy, Drama",140,Shammeer Sultan,"Sujith Shanker, Anuhya",6.2,5.8,6
Thupaki Ramudu,Telugu,13/09/19,"Romance, Comedy",136,C. Sathish Kumar,"Siva Karthikeyan, Meghali, Abhinayashree Dagala",6.2,6.5,6.35
F2: Fun and Frustration,Telugu,01/12/19,"Comedy, Romance",148,Anil Ravipudi,"Venkatesh Daggubati, Varun Tej, Tamannaah Bhatia, Mehreen Pirzada",6.1,6.7,6.4
Mr. Majnu,Telugu,02/01/19,"Romance, Comedy",145,Venky Atluri,"Akhil Akkineni, Nidhhi Agerwal",6.1,6.4,6.25
Dhrusti,Telugu,05/10/19,"Thriller, Crime",120,S. Srinivas,‚Äî (Priyadarshi),6.1,6.7,6.4
Ek,Telugu,08/09/19,"Action, Thriller",129,Sangeeth Sivan,,6.1,6,6.05
Cobra,Telugu,15/11/19,"Action, Crime",135,Harish Shankar,Ram Gopal Varma,6.1,6.4,6.25
Ranarangam,Telugu,14/06/19,"Action, Thriller",138,Sudheer Varma,Sharwanand,6,6.5,6.25
Vinara Sodara Veera Kumara,Telugu,22/09/19,"Drama, Fantasy",144,Ravi Teja (not actor),Ramana Kumar,6,5.6,5.8
Diksoochi,Telugu,26/07/19,"Mystery, Thriller",120,Selva Kumar,,6,5.8,5.9
Kothaga Maa Prayanam,Telugu,10/12/19,"Romance, Drama",136,Sree Bala Boopathy,"Priyanth, Yamini Bhaskar",6,5.9,5.95
Shree Atharvana Prathyangira,Kannada,,Drama,122,Sri Sapthagiri Amma,Anu Krishna,9.2,8.7,8.95
Digbhayam,Kannada,,"Horror, Thriller, Drama",107,Amith,"Amith, Kavitha Bist, Monisha & Hamsa Gowda",8.9,9.2,9.05
Omme Nishyabda Omme Yudda,Kannada,,Romantic Drama,120,Sree‚Nag,"Samyuktha Hegde, Prabhu Mundkur, Vijay Bholenath",8.5,8.3,8.4
Udumba,Kannada,,"Action, Romance, Drama",132,Shivaraj,"Pawan Shourya, Chirashree Anchan, Sharath Lohitashwa",8.5,8.8,8.65
Ranahedi,Kannada,,Drama,149,Manu K Shettahalli,"Karna Kumar, Aishwarya Rao, Achyuth Kumar",8.5,9.1,8.8
Kempe Gowda 2,Kannada,,"Action, Political Thriller",139,Shankar Gowda,"Komal Kumar, Rakshika Sharma, S.‚Sreesanth",8.4,8.7,8.55
Siddhi Seere,Kannada,,Drama,137,Brahmanand Reddy & K.N. Krishnamurthy Rao,Sudha Narasimharaju,8.4,7.9,8.15
Gini Helida Kathe,Kannada,,"Comedy, Romance, Drama",138,Nagaraja‚Uppunda,"Dev Rangabhoomi, Malathesh",8.4,8,8.2
Mookajjiya Kanasugalu,Kannada,,"Fantasy, Drama",133,P.‚Sheshadri,"B.‚Jayashree, Kavya Shah, Arvind Kuplikar",8.3,8,8.15
Lungi,Kannada,,"Romance, Drama",115,"Arjun Lewis, Akshith Shetty","Pranav Hegde, Ahalya Suresh, Radhika Rao, Prakash Thuminad",8.3,8.2,8.25
Lambodara,Kannada,15/03/19,"Comedy, Drama",124,Praveen Reddy T,"Sathvika Appaiah, Akshay, Shruti Prakash",8.2,8.1,8.15
i1,Kannada,06/09/19,"Thriller, Mystery, Drama",120,Abhishek Shetty,"Vishwa, Sidharth, Arjun",8.2,8.2,8.2
Bell Bottom,Kannada,15/02/19,"Crime, Comedy, Thriller",130,Jayatheertha,"Rishab Shetty, Hariprriya, Achyuth Kumar",8.1,8.7,8.4
Night Out,Kannada,20/12/19,Thriller,116,Bhaskar,"Bharath, Akshay P, Shruti Goradia",8.1,7.8,7.95
Thrayambakam,Kannada,29/03/19,"Thriller, Drama",115,Dayal Padmanabhan,"Raghavendra Raj, Anupama Gowda",8.1,7.8,7.95
Gantumoote,Kannada,18/10/19,"Drama, Romance",115,Roopa Rao,"Teju Belawadi, Nischith Korodi",8,7.8,7.9
Savarna Deergha Sandhi,Kannada,01/02/19,"Comedy, Action, Romance",131,Veerendra Shetty Kavoor,"Rakshit Shetty, Adhvithi Shetty",8,7.8,7.9
Sarala Virala,Kannada,27/09/19,"Documentary, Biography",51,Dr. Natesh HP,L. Narayana Reddy,8,8.5,8.25
Kaarmoda Saridu,Kannada,01/03/19,"Drama, Fantasy",105,Praveen Kandagal,"Vishal Anand, Meghashree",8,7.7,7.85
Gnanam,Kannada,22/11/19,Drama,95,Hari Mahadeva,"Aishwarya Gowda, Ananth Nag",8,7.7,7.85
Kavaludaari,Kannada,12/04/19,"Mystery, Thriller, Crime",143,Hemanth M Rao,"Rishi, Anant Nag, Achyuth Kumar",7.9,8.5,8.2
Soojidaara,Kannada,10/05/19,"Drama, Thriller",132,Mounesh Badiger,"Hariprriya, Yashwanth Shetty",7.8,8,7.9
Devaru Bekagiddare,Kannada,26/04/19,Drama,94,Kenja Chethan Kumar,"Appu Venkatesh, Rajesh Nataranga",7.8,7.4,7.6
Avane Srimannarayana,Kannada,27/12/19,"Action, Adventure, Fantasy",186,Sachin Ravi,"Rakshit Shetty, Shanvi Srivastava",7.7,8.1,7.9
Birbal Trilogy: Case 1,Kannada,18/01/19,"Thriller, Legal Drama",163,M.G. Srinivas,"M.G. Srinivas, Rukmini Vasanth",7.7,7.4,7.55
Premier Padmini,Kannada,26/04/19,Drama,145,Ramesh Indira,"Jaggesh, Madhoo, Hitha Chandrashekar",7.7,7.7,7.7
Gandada Kudi,Kannada,06/12/19,"Drama, Environmental",135,Kiran Kuppuswamy,"Chandana, Deepak Raj, H.G. Dattatreya",7.7,7.7,7.7
Rugged,Kannada,22/03/19,"Action, Romance",126,Mahesh Gowda,"Vinod Prabhakar, Chaitra Reddy",7.7,7.5,7.6
Adachanegaagi Kshamisi,Kannada,01/11/19,"Comedy, Drama",115,Pradeep Varma,"Pradeep Varma, Sheetal Pandya",7.7,7.6,7.65
Darmapura,Kannada,01/03/19,"Action, Drama",122,Raghuram K,"Harishchandra, Shwetha Sudeep",7.7,7.6,7.65
Seizer,Kannada,26/04/19,"Action, Drama",140,Vinay Krishna,"Chiranjeevi Sarja, Parul Yadav",7.6,8.2,7.9
Bhinna,Kannada,08/11/19,Psychological Thriller,95,Adarsh Eshwarappa,"Paayal Radhakrishna, Sowmya Jaganmurthy",7.5,7.1,7.3
Inthi Nimma Bhaira,Kannada,15/03/19,Drama,138,Sandeep Sunkad,"Sandeep Sunkad, Dhanush, Sharanya Shetty",7.5,8,7.75
Inject 0.7,Kannada,28/06/19,"Thriller, Mystery",139,Lankesh G V,"Anoop Shetty, Smitha, Chetan Kumar",7.4,7,7.2
Navelru... Half Boiled,Kannada,20/12/19,"Comedy, Adventure",118,Upendra Naik,"Pramod Shetty, Rakesh Maiya, Arun Raj",7.4,7.2,7.3
Missing Boy,Kannada,01/02/19,"Drama, Family",123,Raghuram,"Gurunandan, Archana Jayakrishnan, Rangayana Raghu",7.4,7.3,7.35
Kiru Minkanaja,Kannada,22/03/19,Drama,137,Anand D,"Anand D, Usha Jadhav, Mahesh",7.4,7.3,7.35
Katha Sangama,Kannada,06/12/19,"Anthology (Drama, Romance, etc.)",156,Rishab Shetty (curator),"Hariprriya, Rishab Shetty, Raj B. Shetty, Prakash Raj",7.3,7.5,7.4
Chambal,Kannada,22/02/19,Political Thriller,112,Jacob Verghese,"Sathish Ninasam, Sonu Gowda, Roger Narayan",7.3,6.8,7.05
Girmit,Kannada,08/11/19,"Action, Comedy, Drama",120,Ravi Basrur,"All Children Cast, Ravishankar, Sudha Belawadi",7.3,7.1,7.2
Face 2 Face,Kannada,15/03/19,"Romance, Thriller, Drama",109,Sandeep Janardhan,"Rohith Bhanuprakash, Divya, Purvi Joshi",7.2,7,7.1
Aduva Gombe,Kannada,04/01/19,Drama,139,S. K. Bhagavan,"Anant Nag, Sudha Belawadi, Sachari Vijay",7.2,6.7,6.95
Ammana Mane,Kannada,08/03/19,"Drama, Family",113,Nikhil Manjoo,"Raghavendra Rajkumar, Rohini",7.2,7.5,7.35
Andavaada,Kannada,15/03/19,"Romantic Comedy, Drama",130,Chala,"Kiran Jai, Anusha Rangnath",7.2,7.6,7.4
Mane Maratakkide,Kannada,15/11/19,"Comedy, Horror",140,Manju Swaraj,"Sadhu Kokila, Kuri Pratap, Chikkanna",7.1,7.5,7.3
Ranganayaki,Kannada,01/11/19,"Drama, Crime",137,Dayal Padmanabhan,"Aditi Prabhudeva, Trivikram Nallamshetty",7,7.2,7.1
Aa Drushya,Kannada,08/11/19,"Crime, Thriller",120,Shiva Ganesh,"V. Ravichandran, Anupama Gowda",7,7.4,7.2
Chemistry of Kariyappa,Kannada,18/01/19,"Comedy, Family",128,Kumaar,"Tabla Nani, Chandan Achar",6.9,7.1,7
Kavacha,Kannada,05/04/19,"Action, Thriller, Drama",160,G.V.R. Vasu,"Shiva Rajkumar, Kruthika Jayakumar",6.9,7.1,7
Londonalli Lambodhara,Kannada,18/01/19,"Comedy, Romance",136,Raj Surya,"Santhu, Shruti Prakash",6.9,7.4,7.15
Fan,Kannada,26/07/19,"Drama, Thriller",145,Chaitanya KM,"Aryann Gowda, Adhvithi Shetty",6.8,6.7,6.75
Nam Gani B Com Pass,Kannada,10/05/19,"Comedy, Romance",116,Abhishek Shetty,"Abhishek Shetty, Priyanka Thimmesh",6.8,7.2,7
Secrets,Kannada,12/07/19,"Romance, Drama",105,Abhay Kumar,"Kavya Ramesh, Suraj Gowda",6.8,6.5,6.65
Vismaya,Kannada,12/04/19,Drama,120,Sunil Kumar,"Ravi Teja, Vijay Sethupathi",6.7,6.9,6.8
Aadi Lakshmi Puraana,Kannada,19/07/19,"Romance, Comedy, Thriller",139,V. Priya,"Radhika Pandit, Nirup Bhandari",6.6,7.1,6.85
Ondh Kathe Hella,Kannada,22/03/19,"Horror, Anthology",127,Girish Girija Joshi,"Thandav Ram, Prithvi Konanur",6.6,6.1,6.35
Kapata Nataka Paatradhaari,Kannada,28/06/19,"Horror, Thriller, Romance",116,Krish,"Balu Nagendra, Sangeetha Bhat",6.6,6.7,6.65
99,Kannada,01/05/19,"Romance, Drama",144,Preetham Gubbi,"Ganesh, Bhavana",6.5,7,6.75
Natasaarvabhowma,Kannada,07/02/19,"Action, Thriller, Supernatural",157,Pavan Wadeyar,"Puneeth Rajkumar, Rachita Ram, Anupama Parameswaran",6.4,6.5,6.45
Kalidasa Kannada Meshtru,Kannada,22/11/19,"Comedy, Drama",124,Kaviraj,"Jaggesh, Meghana Gaonkar",6.4,6.6,6.5
Arishadvarga,Kannada,27/09/19,"Crime, Mystery, Thriller",132,Arvind Kamath,"Mahesh Bung, Anju Alva Naik, Samyukta Hornad",6.4,6.1,6.25
Alidu Ulidavaru,Kannada,06/12/19,"Horror, Thriller",122,Arvind Sastry,"Ashu Bedra, Atul Kulkarni, Pawan Kumar",6.4,6.2,6.3
Adhyaksha In America,Kannada,01/11/19,"Comedy, Drama",156,Yoganand Muddhan,"Sharan, Ragini Dwivedi",6.4,6.5,6.45
Bramhachari,Kannada,29/11/19,Comedy,134,Chandra Mohan,"Sathish Ninasam, Aditi Prabhudeva",6.4,6.7,6.55
Mundina Nildana,Kannada,29/11/19,"Drama, Romance",106,Vinay Bharadwaj,"Praveen Tej, Radhika Narayan, Ananya Kashyap",6.3,5.7,6
Seetharama Kalyana,Kannada,25/01/19,"Action, Drama, Romance",155,A. Harsha,"Nikhil Kumar, Rachita Ram",6.3,6.4,6.35
Nanna Prakara,Kannada,23/08/19,"Crime, Mystery, Thriller",115,Vinay Balaji,"Kishore, Priyamani, Mayuri Kyatari",6.3,6,6.15
Udgharsha,Kannada,22/03/19,"Action, Thriller",130,Sunil Kumar Desai,"Thakur Anoop Singh, Dhansika, Tanya Hope",6.3,6.3,6.3
Girgitle,Kannada,15/11/19,"Drama, Comedy",148,Ravi Kiran,"Raj B Shetty, Shilpa Shetty",6.3,5.8,6.05
Kurukshetra,Kannada,09/08/19,"Mythological, War, Historical",185,Naganna,Darshan,6.2,6.1,6.15
Pailwaan,Kannada,12/09/19,"Action, Sports, Masala",166,S. Krishna,"Sudeepa, Suniel Shetty, Aakanksha Singh",6.2,6.2,6.2
Yajamana,Kannada,14/02/19,"Action, Drama",164,V. Harikrishna,"Darshan, Rashmika Mandanna",6.2,6.5,6.35
Damayanthi,Kannada,06/12/19,"Thriller, Revenge",161,Navarasan,Chandani Prakash,6.2,6.8,6.5
Vrithra,Kannada,12/07/19,"Crime, Thriller",114,Chandra Mohan,"Nithya Shri, Bhavana",6.2,5.7,5.95
Elleidde Illi Tanaka,Kannada,15/10/19,"Romance, Drama",138,T. Krishna,"Surya, Nandini",6.2,6.7,6.45
Haftha,Kannada,01/06/19,"Crime, Drama",130,S. K. Basavaraj,"Prem, Raksha",6.2,5.8,6
Operation Nakshatra,Kannada,20/09/19,"Drama, Thriller",120,Madhusudhana K R,"Aditi Prabhudeva, Niranjan Wadeyar",6.1,6.2,6.15
Dasharatha,Kannada,05/04/19,"Family, Drama, Legal",122,M.S. Ramesh,V. Ravichandran,6.1,5.7,5.9
Geetha,Kannada,12/06/19,"Romance, Drama",148,Shashank,Prajwal Devaraj,6,6.1,6.05
Manaroopa,Kannada,22/11/19,"Psychological, Suspense, Thriller",124,Kiran Hegde,"Dileep Gowda, Anusha Rao, Nisha B.R.",6,5.8,5.9
Pencil Box,Kannada,,Drama,134,Razak Puttur,"Aravind Bolar, Bhojaraj Vamanjoor, Deeksha D. Rai",6,6,6
Pazhagiya Naatkal,Tamil,19/02/21,"Drama, Romance",127,Ram Dev,"Meeran, Meghana, Nellai Siva",9,8.4,8.7
Pen Paadhi Aadai Paadhi,Tamil,01/01/21,"Social Drama, Thriller",45,"Harish‚Usha‚Sampath, Vignesh‚J.‚Narayanan","Annie, Sudarsan‚Gunasekaran, Lizzie‚Antony",8.9,9.4,9.15
Kadaisi Vivasayi,Tamil,,Drama,144,M. Manikandan,"Vijay‚Sethupathi, Yogi‚Babu",8.7,9,8.85
Jai Bhim,Tamil,,"Legal, Drama",164,TJ Gnanavel,"Suriya, Lijomol‚Jose, Rajisha‚Vijayan, Prakash‚Raj",8.6,8.8,8.7
Labour,Tamil,31/12/21,Drama,100,Sathyapathi,"Muthu‚Kumar, Saranya‚Ravichandran, Murugan‚Arumugam",8.6,8.6,8.6
Sarpatta Parambarai,Tamil,22/07/21,"Sports, Drama, Action",174,Pa. Ranjith,"Arya, Dushara‚Vijayan, Pasupathy, John‚Kokken",8.5,8.3,8.4
Mandela,Tamil,04/04/21,"Political Satire, Comedy‚ÄëDrama",140,Madonne Ashwin,"Yogi‚Babu, Sheela‚Rajkumar",8.3,8.9,8.6
Maanaadu,Tamil,25/11/21,"Sci‚ÄëFi, Political Thriller",147,Venkat‚Prabhu,"Silambarasan, SJ‚Suryah, Kalyani‚Priyadarshan",8.2,8,8.1
Chinnanjiru Kiliye,Tamil,24/09/21,"Drama, Family, Romantic",128,Sabarinathan Muthupandian,"Senthilnathan, Sandra Nair, Archana‚Singh",8.2,8.8,8.5
Karnan,Tamil,09/04/21,"Action, Drama",158,Mari Selvaraj,"Dhanush, Lal, Yogi‚Babu, Rajisha‚Vijayan",8,8.4,8.2
Vinodhaya Sitham,Tamil,,"Comedy, Drama, Fantasy",97,Samuthirakani,"Samuthirakani, Thambi‚Ramaiah",8,7.6,7.8
Thaen,Tamil,,"Drama, Social",104,Ganesh Vinayak,"Bharathiraja, Rohini, Vasanth‚Ravi",8,8.1,8.05
Rocky,Tamil,,"Crime, Drama",129,Arun Matheswaran,"Vasanth Ravi, Raveena Ravi",7.8,8,7.9
Operation JuJuPi,Tamil,,"Comedy, Fantasy",94,"Arun Kanth, Chaams","Arunkanth, Chaams",7.8,8.3,8.05
C/O Kaadhal,Tamil,,"Anthology, Romance, Drama",134,Hemambar Jasti,"Sai Dharam Tej, Megha Akash, Samuthirakani",7.7,8,7.85
Writer,Tamil,22/07/21,"Crime, Drama, Thriller",150,Franklin Jacob,Samuthirakani,7.6,8.1,7.85
Irai Thedal,Tamil,06/08/21,"Crime, Thriller",102,K.‚S.‚Karthik,"Sanuja Somanath, Krishnajith Vijayan, Supriya Ravi",7.6,7.2,7.4
Maara,Tamil,08/01/21,"Adventure, Drama",150,Dhilip Kumar,"R.‚Madhavan, Shraddha Srinath",7.5,7.2,7.35
Ninnila Ninnila,Tamil,,"Romance, Comedy",118,Ani I.V. Sasi,"Ashok Selvan, Ritu Varma, Nithya Menen",7.5,7.8,7.65
Choo Mandhirakaali,Tamil,24/09/21,"Comedy, Fantasy",128,Eswar Kotravai,"Sanjana Burli, Karthikeyan Velu",7.5,7.7,7.6
Master,Tamil,13/01/21,"Action, Crime, Drama",179,Lokesh Kanagaraj,"Vijay, Vijay Sethupathi, Malavika Mohanan",7.4,7.8,7.6
Kamali from Nadukkaveri,Tamil,19/11/21,"Drama, Social",147,Krishna Raghavan,"Aishwarya Rajesh, Rohini, Anandhi",7.4,6.9,7.15
Kadaseela Biriyani,Tamil,26/02/21,"Comedy, Drama",115,Nishanth Ravindaran,"Charle, Dheena, Mahima Nambiar",7.4,7.8,7.6
Madurai Manikkuravar,Tamil,01/01/21,Drama,122,Muthukumar,"Vinodhini Vaidyanathan, Vivek Prasanna",7.4,7.7,7.55
Filter Gold,Tamil,20/02/21,"Drama, Social",118,Prabhu Manivannan,"Kani Kusruti, Sachu, Gayathri Krishnaa",7.3,7.5,7.4
Kasada Thapara,Tamil,,"Drama, Anthology",137,"Chimbudevan, Vinoth, & 8 others","Harish Kalyan, Priya Bhavani Shankar, Sundeep Kishan",7.2,6.9,7.05
Thittam Irandu,Tamil,30/07/21,"Crime, Thriller, Drama",71,Vignesh Karthick,"Aishwarya Rajesh, Pavel Navageethan",7.1,7.5,7.3
Oh Manapenne,Tamil,22/10/21,"Romantic Comedy, Drama",140,Kaarthikk Sundar,"Harish Kalyan, Priya Bhavani Shankar",7.1,7.7,7.4
Pebbles,Tamil,01/01/21,Drama,75,PS Vinothraj,"Master Kaala, Subramaniam Sivakami",7,7.6,7.3
Aelay,Tamil,01/01/21,"Drama, Comedy",153,Halitha Shameem,"Samuthirakani, Vivek Prasanna",7,7.3,7.15
The Road to Kuthriyar,Tamil,01/01/21,"Drama, Adventure",115,Suresh Thirunavukarasu,"Dhruv, Dorai (actors not widely listed)",6.9,6.6,6.75
Alpha Adimai,Tamil,01/01/21,"Crime, Drama",89,Bala J.,"Munishkanth, Aruvi",6.9,6.4,6.65
Amanuda,Tamil,01/01/21,"Horror, Thriller",101,Chadha Navasy,--,6.9,7.1,7
Mathil,Tamil,01/01/21,Social Drama,104,Mithran Jawahar,"Karthi, Raashii Khanna",6.9,6.8,6.85
Kodiyil Oruvan,Tamil,01/01/21,"Action, Drama",151,Ananth Ramadoss,"Vijay Antony, Divya Prabha",6.7,6.2,6.45
Vaazhl,Tamil,01/01/21,"Drama, Adventure",112,Arun Prabhu Purushothaman,"TJ Bhanu, Aahrav, Diva Dhawan",6.7,6.2,6.45
Irudhi Pakkam,Tamil,17/12/21,"Crime, Mystery, Thriller",95,Mano‚Ve‚Kannathasan,"Amrutha‚Srinivasan, Rajesh‚Balachandiran, Vignesh‚Shanmugam",6.7,7.2,6.95
Anbirkiniyal,Tamil,05/03/21,Survival Thriller,124,Gokul,"Keerthi‚Pandian, Arun‚Pandian",6.7,6.9,6.8
Appathava Aattaya Pottutanga,Tamil,19/02/21,"Comedy, Romance",102,Vignesh‚Kumar,"Vinodhini Vaidyanathan, Ashok Kumar",6.7,7.2,6.95
Endraavathu Oru Naal,Tamil,19/03/21,Drama,108,Seenu Ramasamy,"Aadukalam Naren, Iniya, Azhagam Perumal",6.7,7,6.85
Chithirai Sevvaanam,Tamil,08/04/21,"Crime, Drama",128,Rajadurai Sithara,"Samuthirakani, Rima‚Kallingal, Vidya‚Pradeep",6.6,6.7,6.65
Theerpugal Virkapadum,Tamil,26/03/21,Medical Thriller,125,S.‚A. Chandrasekhar,"Mahendran, Kavya Thapar",6.6,6.1,6.35
Lift,Tamil,27/08/21,"Horror, Thriller",134,Vineeth Varaprasad,"Kavin, Amritha‚Aiyer",6.5,6.4,6.45
Vellai Yaanai,Tamil,12/02/21,Social Drama,127,Subramaniam Siva,"S.‚Sathya, Manasvi Kottachi",6.5,6.8,6.65
Kalathil Sandhippom,Tamil,,"Friendship, Sports, Drama",138,A. Tamil Selvan,"Ma Ka Pa Anand, Priya Bhavani Shankar",6.5,6.2,6.35
Kayamai Kadakka,Tamil,26/11/21,"Thriller, Drama",104,Milind Rau,"Niranjan Reddy, Karthik Raju",6.4,6.5,6.45
Malaysia to Amnesia,Tamil,03/09/21,"Drama, Comedy",116,Venkatesh B,"M.‚S. Bhaskar, Vaibhav Reddy, Karunakaran",6.4,6.4,6.4
Blood Money,Tamil,12/11/21,"Crime, Thriller",90,Sarjun KM,"Bindu Madhavi, Shantanu Baghel (?)",6.4,6.2,6.3
IKK,Tamil,21/05/21,Psychological Drama,109,Sarjun KM,"Suresh Ravi, Abhilash, Gayathrie Shankar",6.4,6,6.2
Chakra,Tamil,14/10/21,"Action, Thriller",131,MS Anandan,"Vishal, Shraddha Srinath",6.3,6.2,6.25
Teddy,Tamil,29/07/21,"Comedy, Thriller",136,Shakti Soundar Rajan,"Jai, Yogi Babu",6.3,6,6.15
Kabadadaari,Tamil,30/04/21,"Mystery, Thriller",146,Pradeep Krishnamoorthy,Sibi Sathyaraj,6.3,6.4,6.35
Raame Aandalum Raavane Aandalum,Tamil,29/10/21,Social Drama,112,Arisil Moorthy,"Karunas, Jamuna",6.3,6,6.15
R23 Criminals Diary,Tamil,24/09/21,"Crime, Mystery",110,Ramesh Santhanam,Suresh Ravi,6.3,6,6.15
Meendum,Tamil,,"Horror, Thriller",127,Azhar,"Lal, Napoleon, Harish Uthaman",6.3,5.9,6.1
Sulthan,Tamil,02/09/21,"Action, Drama",145,Bakkiyaraj Kannan,"Karthi, Rashmika Mandanna, Napoleon",6.2,6.6,6.4
Dikkiloona,Tamil,11/06/21,"Comedy, Sci‚ÄëFi",145,Seenu Ramasamy,"Santhanam, Yogi Babu, Raashii Khanna",6.2,6.5,6.35
Theethum Nandrum,Tamil,11/02/21,"Action, Drama",143,S. Suresh Kumar,"Mithun Manickam, Prithika Santhe",6.2,5.8,6
Sanga Thalaivan,Tamil,14/12/21,Political Drama,123,M.‚Rajesh,"Arun Vijay, Keerthy Suresh, Varalaxmi Sarathkumar",6.2,6.5,6.35
Enemy,Tamil,,"Action, Drama",159,Anand Shankar,"Vishal, Arya, Mirnalini Ravi, Prakash Raj",6.1,6.5,6.3
Sivakumarin Sabadham,Tamil,29/10/21,Drama,135,R.‚Krishnamoorthy,"Aadhav Balaji, G.V.‚Prakash Kumar, Varalaxmi Sarathkumar",6,6.1,6.05
Bachelor,Tamil,30/04/21,"Comedy‚ÄëDrama, Romance",174,Bommarillu Bhaskar,"G.V.‚Prakash Kumar, Divya Dharshini, Ancy Sunmoon",6,6.4,6.2
Nenjam Marappathillai,Tamil,,Horror,150,Selvaraghavan,"Regina Cassandra, Mahima Nambiar, Nandha Durairaj",6,5.4,5.7
Vanam,Tamil,22/10/21,"Horror, Mystery",124,Lokesh Kumar Rajendran,"Vetri, Bharath, Shraddha Srinath",6,5.6,5.8
Ziel,Malayalam,,"Thriller, Mystery",,Karundas,Arun Pradeep,9.4,9.5,9.45
Operation Olipporu,Malayalam,23/01/21,"Action, Comedy, Thriller",58,Akshay Ajayakumar,"Akhil S., Arjun R. S., Ananthan G.T., Ajit Kumar",9,8.7,8.85
Velukkakka Oppu Kaa,Malayalam,06/07/21,"Drama, Social",101,Ashok R. Kalitha,"Indrans, Uma K.P., Saju Navodaya, Naseer Sankranthy",8.9,8.8,8.85
Vellakkarante Kamuki,Malayalam,28/10/21,"Comedy, Drama",150,Anees B. S.,"Aniyappan, Jaffer Idukki, Anu Joseph, Randev Sharma",8.8,8.7,8.75
#Home,Malayalam,19/08/21,Drama,158,Rojin Thomas,"Indrans, Sreenath Bhasi, Naslen K. Gafoor, Deepa Thomas, Manju Pillai",8.7,8.5,8.6
Babysam,Malayalam,,"Family, Drama (Short)",58,Jeevan Bose,"Master Ayush, Anjali Nair, Mithun Ramesh",8.6,8.9,8.75
Drishyam 2,Malayalam,19/02/21,"Crime, Drama, Thriller",152,Jeethu Joseph,"Mohanlal, Meena, Ansiba Hassan, Esther Anil",8.4,8.2,8.3
Woman with a Movie Camera,Malayalam,,"Adventure, Documentary",104,Athira Joseph,,8.4,8.1,8.25
Moral Nights,Malayalam,21/05/21,"Anthology, Thriller, Drama",93,S. Sunil,"Sandra Larwin, Sheethal Shyam, Honey Vinu, Deepthi Kalyani, Monisha",8.2,8.6,8.4
