Title,Language,Release Date,Genre(s),Runtime (mins),Director,Lead Actor(s),IMDb Rating (/10),BookMyShow Rating (/10),Average Rating (/10)
Arjun Suravaram,Telugu,29/11/2019,"Action, Thriller",108,T. Santhosh,"Nikhil Siddharth, Lavanya Tripathi",6.6,8.2,7.4
Rajdooth,Telugu,07/12/19,"Adventure, Drama",130,"Arjun, Carthyk","Meghamsh Srihari, Nakshatra Babu",6.6,,
Undiporaadhey,Telugu,09/06/19,"Romance, Period Drama",139,Naveen Nayani,"Tharun Tej, Lavanya",6.5,,
Akkadokaduntadu,Telugu,25/10/2019,"Crime, Comedy, Thriller",120,Siva Kantamneni,"Ram Karthik, Preethi Nigam",6.5,,
118,Telugu,03/01/19,"Action, Mystery, Thriller",120,K. V. Guhan,"Kalyan Ram, Nivetha Thomas, Shalini Pandey",6.4,7.9,7.15
Lakshmi's NTR,Telugu,29/03/2019,"Biopic, Political Drama",152,Ram Gopal Varma,"P. Vijay Kumar, Yagna Shetty, Rajasekhar Aningi",6.4,7.2,6.8
2 Hours Love,Telugu,05/10/19,"Romance, Drama",150,Deepak Balan,"Prajit Neel, Megha Gupta",6.4,,
Prati Roju Pandaage,Telugu,17/10/2019,"Drama, Family",146,Maruthi,"Sai Dharam Tej, Sathyaraj, Rohini",6.3,8,7.15
Gaddalakonda Ganesh,Telugu,20/09/2019,"Action, Comedy, Drama",130,Harish Shankar,"Varun Tej, Pooja Hegde, Atharvaa",6.3,8.1,7.2
Falaknuma Das,Telugu,07/05/19,"Crime, Thriller, Drama",145,Vishwak Sen,"Vishwak Sen, Uttej, Santhy Balachandran",6.3,7.8,7.05
Krishna Rao Supermarket,Telugu,14/04/2019,Drama,149,Sreenath Pulakuram,"Krishna, Elsa Ghosh",6.3,,
Yedu Chepala Katha,Telugu,23/08/2019,"Comedy, Romance",124,Karthikeya Gummakonda,"Ravi, Bhavana Nandi",6.2,,
Guna 369,Telugu,11/08/19,"Action, Crime, Drama",146,Arjun,Karthikeya Gummakonda,6.2,,
Meeku Maathrame Chepta,Telugu,19/07/2019,"Comedy, Drama",140,Shammeer Sultan,"Sujith Shanker, Anuhya",6.2,7.6,6.9
Thupaki Ramudu,Telugu,13/09/2019,"Romance, Comedy",136,C. Sathish Kumar,"Siva Karthikeyan, Meghali, Abhinayashree Dagala",6.2,,
F2: Fun and Frustration,Telugu,01/12/19,"Comedy, Romance",148,Anil Ravipudi,"Venkatesh Daggubati, Varun Tej, Tamannaah Bhatia, Mehreen Pirzada",6.1,8.2,7.15
Mr. Majnu,Telugu,02/01/19,"Romance, Comedy",145,Venky Atluri,"Akhil Akkineni, Nidhhi Agerwal",6.1,7.1,6.6
Dhrusti,Telugu,05/10/19,"Thriller, Crime",120,S. Srinivas,— (Priyadarshi),6.1,,
Ek,Telugu,08/09/19,"Action, Thriller",129,Sangeeth Sivan,—,6.1,,
Cobra,Telugu,15/11/2019,"Action, Crime",135,Harish Shankar,Ram Gopal Varma,6.1,,
Ranarangam,Telugu,14/06/2019,"Action, Thriller",138,Sudheer Varma,Sharwanand,6,7,6.5
Vinara Sodara Veera Kumara,Telugu,22/09/2019,"Drama, Fantasy",144,Ravi Teja (not actor),Ramana Kumar,6,,
Diksoochi,Telugu,26/07/2019,"Mystery, Thriller",120,Selva Kumar,—,6,,
Kothaga Maa Prayanam,Telugu,10/12/19,"Romance, Drama",136,Sree Bala Boopathy,"Priyanth, Yamini Bhaskar",6,,
,,,,,,,,,
Title,Language,Release Date,Genre(s),Runtime (mins),Director,Lead Actor(s),IMDb Rating (/10),BookMyShow Rating (/10),Average Rating (/10)
Shree Atharvana Prathyangira,Kannada,22‑Mar‑2019,Drama,122,Sri Sapthagiri Amma,Anu Krishna,9.2,7.7,
Digbhayam,Kannada,24‑May‑2019,"Horror, Thriller, Drama",107,Amith,"Amith, Kavitha Bist, Monisha & Hamsa Gowda",8.9,,
Omme Nishyabda Omme Yudda,Kannada,31‑May‑2019,Romantic Drama,120,Sree Nag,"Samyuktha Hegde, Prabhu Mundkur, Vijay Bholenath",8.5,7.1,
Udumba,Kannada,23‑Aug‑2019,"Action, Romance, Drama",132,Shivaraj,"Pawan Shourya, Chirashree Anchan, Sharath Lohitashwa",8.5,,
Ranahedi,Kannada,29‑Nov‑2019,Drama,149,Manu K Shettahalli,"Karna Kumar, Aishwarya Rao, Achyuth Kumar",8.5,,
Kempe Gowda 2,Kannada,09‑Aug‑2019,"Action, Political Thriller",139,Shankar Gowda,"Komal Kumar, Rakshika Sharma, S. Sreesanth",8.4,,
Siddhi Seere,Kannada,11‑Oct‑2019,Drama,137,Brahmanand Reddy & K.N. Krishnamurthy Rao,Sudha Narasimharaju,8.4,,
Gini Helida Kathe,Kannada,18‑Jan‑2019,"Comedy, Romance, Drama",138,Nagaraja Uppunda,"Dev Rangabhoomi, Malathesh",8.4,,
Mookajjiya Kanasugalu,Kannada,29‑Nov‑2019,"Fantasy, Drama",133,P. Sheshadri,"B. Jayashree, Kavya Shah, Arvind Kuplikar",8.3,,
Lungi,Kannada,11‑Oct‑2019,"Romance, Drama",115,"Arjun Lewis, Akshith Shetty","Pranav Hegde, Ahalya Suresh, Radhika Rao, Prakash Thuminad",8.3,8,8.15
Lambodara,Kannada,15-Mar-19,"Comedy, Drama",124,Praveen Reddy T,"Sathvika Appaiah, Akshay, Shruti Prakash",8.2,,
i1,Kannada,06-Sep-19,"Thriller, Mystery, Drama",120,Abhishek Shetty,"Vishwa, Sidharth, Arjun",8.2,,
Bell Bottom,Kannada,15-Feb-19,"Crime, Comedy, Thriller",130,Jayatheertha,"Rishab Shetty, Hariprriya, Achyuth Kumar",8.1,8.4,8.25
Night Out,Kannada,20-Dec-19,Thriller,116,Bhaskar,"Bharath, Akshay P, Shruti Goradia",8.1,,
Thrayambakam,Kannada,29-Mar-19,"Thriller, Drama",115,Dayal Padmanabhan,"Raghavendra Raj, Anupama Gowda",8.1,,
Gantumoote,Kannada,18-Oct-19,"Drama, Romance",115,Roopa Rao,"Teju Belawadi, Nischith Korodi",8,7.7,7.85
Savarna Deergha Sandhi,Kannada,01-Feb-19,"Comedy, Action, Romance",131,Veerendra Shetty Kavoor,"Rakshit Shetty, Adhvithi Shetty",8,,
Sarala Virala,Kannada,27-Sep-19,"Documentary, Biography",51,Dr. Natesh HP,L. Narayana Reddy,8,,
Kaarmoda Saridu,Kannada,01-Mar-19,"Drama, Fantasy",105,Praveen Kandagal,"Vishal Anand, Meghashree",8,,
Gnanam,Kannada,22-Nov-19,Drama,95,Hari Mahadeva,"Aishwarya Gowda, Ananth Nag",8,,
Kavaludaari,Kannada,12-Apr-19,"Mystery, Thriller, Crime",143,Hemanth M Rao,"Rishi, Anant Nag, Achyuth Kumar",7.9,8.2,8.05
Soojidaara,Kannada,10-May-19,"Drama, Thriller",132,Mounesh Badiger,"Hariprriya, Yashwanth Shetty",7.8,,
Devaru Bekagiddare,Kannada,26-Apr-19,Drama,94,Kenja Chethan Kumar,"Appu Venkatesh, Rajesh Nataranga",7.8,,
Avane Srimannarayana,Kannada,27-Dec-19,"Action, Adventure, Fantasy",186,Sachin Ravi,"Rakshit Shetty, Shanvi Srivastava",7.7,8.4,8.05
Birbal Trilogy: Case 1,Kannada,18-Jan-19,"Thriller, Legal Drama",163,M.G. Srinivas,"M.G. Srinivas, Rukmini Vasanth",7.7,8,7.85
Premier Padmini,Kannada,26-Apr-19,Drama,145,Ramesh Indira,"Jaggesh, Madhoo, Hitha Chandrashekar",7.7,,
Gandada Kudi,Kannada,06-Dec-19,"Drama, Environmental",135,Kiran Kuppuswamy,"Chandana, Deepak Raj, H.G. Dattatreya",7.7,,
Rugged,Kannada,22-Mar-19,"Action, Romance",126,Mahesh Gowda,"Vinod Prabhakar, Chaitra Reddy",7.7,,
Adachanegaagi Kshamisi,Kannada,01-Nov-19,"Comedy, Drama",115,Pradeep Varma,"Pradeep Varma, Sheetal Pandya",7.7,,
Darmapura,Kannada,01-Mar-19,"Action, Drama",122,Raghuram K,"Harishchandra, Shwetha Sudeep",7.7,,
Seizer,Kannada,26-Apr-19,"Action, Drama",140,Vinay Krishna,"Chiranjeevi Sarja, Parul Yadav",7.6,,
Bhinna,Kannada,08-Nov-19,Psychological Thriller,95,Adarsh Eshwarappa,"Paayal Radhakrishna, Sowmya Jaganmurthy",7.5,,
Inthi Nimma Bhaira,Kannada,15-Mar-19,Drama,138,Sandeep Sunkad,"Sandeep Sunkad, Dhanush, Sharanya Shetty",7.5,,
Inject 0.7,Kannada,28-Jun-19,"Thriller, Mystery",139,Lankesh G V,"Anoop Shetty, Smitha, Chetan Kumar",7.4,,
Navelru... Half Boiled,Kannada,20-Dec-19,"Comedy, Adventure",118,Upendra Naik,"Pramod Shetty, Rakesh Maiya, Arun Raj",7.4,,
Missing Boy,Kannada,01-Feb-19,"Drama, Family",123,Raghuram,"Gurunandan, Archana Jayakrishnan, Rangayana Raghu",7.4,,
Kiru Minkanaja,Kannada,22-Mar-19,Drama,137,Anand D,"Anand D, Usha Jadhav, Mahesh",7.4,,
Katha Sangama,Kannada,06-Dec-19,"Anthology (Drama, Romance, etc.)",156,Rishab Shetty (curator),"Hariprriya, Rishab Shetty, Raj B. Shetty, Prakash Raj",7.3,,
Chambal,Kannada,22-Feb-19,Political Thriller,112,Jacob Verghese,"Sathish Ninasam, Sonu Gowda, Roger Narayan",7.3,,
Girmit,Kannada,08-Nov-19,"Action, Comedy, Drama",120,Ravi Basrur,"All Children Cast, Ravishankar, Sudha Belawadi",7.3,,
Face 2 Face,Kannada,15-Mar-19,"Romance, Thriller, Drama",109,Sandeep Janardhan,"Rohith Bhanuprakash, Divya, Purvi Joshi",7.2,,
Aduva Gombe,Kannada,04-Jan-19,Drama,139,S. K. Bhagavan,"Anant Nag, Sudha Belawadi, Sachari Vijay",7.2,,
Ammana Mane,Kannada,08-Mar-19,"Drama, Family",113,Nikhil Manjoo,"Raghavendra Rajkumar, Rohini",7.2,,
Andavaada,Kannada,15-Mar-19,"Romantic Comedy, Drama",130,Chala,"Kiran Jai, Anusha Rangnath",7.2,,
Mane Maratakkide,Kannada,15-Nov-19,"Comedy, Horror",140,Manju Swaraj,"Sadhu Kokila, Kuri Pratap, Chikkanna",7.1,7.5,7.3
Ranganayaki,Kannada,01-Nov-19,"Drama, Crime",137,Dayal Padmanabhan,"Aditi Prabhudeva, Trivikram Nallamshetty",7,,
Aa Drushya,Kannada,08-Nov-19,"Crime, Thriller",120,Shiva Ganesh,"V. Ravichandran, Anupama Gowda",7,7.2,7.1
Chemistry of Kariyappa,Kannada,18-Jan-19,"Comedy, Family",128,Kumaar,"Tabla Nani, Chandan Achar",6.9,7.4,7.15
Kavacha,Kannada,05-Apr-19,"Action, Thriller, Drama",160,G.V.R. Vasu,"Shiva Rajkumar, Kruthika Jayakumar",6.9,7.3,7.1
Londonalli Lambodhara,Kannada,18-Jan-19,"Comedy, Romance",136,Raj Surya,"Santhu, Shruti Prakash",6.9,,
Fan,Kannada,26-Jul-19,"Drama, Thriller",145,Chaitanya KM,"Aryann Gowda, Adhvithi Shetty",6.8,,
Nam Gani B Com Pass,Kannada,10-May-19,"Comedy, Romance",116,Abhishek Shetty,"Abhishek Shetty, Priyanka Thimmesh",6.8,,
Secrets,Kannada,12-Jul-19,"Romance, Drama",105,Abhay Kumar,"Kavya Ramesh, Suraj Gowda",6.8,,
Vismaya,Kannada,12-Apr-19,Drama,120,Sunil Kumar,"Ravi Teja, Vijay Sethupathi",6.7,,
Aadi Lakshmi Puraana,Kannada,19-Jul-19,"Romance, Comedy, Thriller",139,V. Priya,"Radhika Pandit, Nirup Bhandari",6.6,7.3,6.95
Ondh Kathe Hella,Kannada,22-Mar-19,"Horror, Anthology",127,Girish Girija Joshi,"Thandav Ram, Prithvi Konanur",6.6,,
Kapata Nataka Paatradhaari,Kannada,28-Jun-19,"Horror, Thriller, Romance",116,Krish,"Balu Nagendra, Sangeetha Bhat",6.6,,
99,Kannada,01-May-19,"Romance, Drama",144,Preetham Gubbi,"Ganesh, Bhavana",6.5,7.1,6.8
Natasaarvabhowma,Kannada,07-Feb-19,"Action, Thriller, Supernatural",157,Pavan Wadeyar,"Puneeth Rajkumar, Rachita Ram, Anupama Parameswaran",6.4,7.4,6.9
Kalidasa Kannada Meshtru,Kannada,22-Nov-19,"Comedy, Drama",124,Kaviraj,"Jaggesh, Meghana Gaonkar",6.4,,
Arishadvarga,Kannada,27-Sep-19,"Crime, Mystery, Thriller",132,Arvind Kamath,"Mahesh Bung, Anju Alva Naik, Samyukta Hornad",6.4,,
Alidu Ulidavaru,Kannada,06-Dec-19,"Horror, Thriller",122,Arvind Sastry,"Ashu Bedra, Atul Kulkarni, Pawan Kumar",6.4,,
Adhyaksha In America,Kannada,01-Nov-19,"Comedy, Drama",156,Yoganand Muddhan,"Sharan, Ragini Dwivedi",6.4,,
Bramhachari,Kannada,29-Nov-19,Comedy,134,Chandra Mohan,"Sathish Ninasam, Aditi Prabhudeva",6.4,,
Mundina Nildana,Kannada,29-Nov-19,"Drama, Romance",106,Vinay Bharadwaj,"Praveen Tej, Radhika Narayan, Ananya Kashyap",6.3,,
Seetharama Kalyana,Kannada,25-Jan-19,"Action, Drama, Romance",155,A. Harsha,"Nikhil Kumar, Rachita Ram",6.3,7,6.65
Nanna Prakara,Kannada,23-Aug-19,"Crime, Mystery, Thriller",115,Vinay Balaji,"Kishore, Priyamani, Mayuri Kyatari",6.3,,
Udgharsha,Kannada,22-Mar-19,"Action, Thriller",130,Sunil Kumar Desai,"Thakur Anoop Singh, Dhansika, Tanya Hope",6.3,,
Girgitle,Kannada,15-Nov-19,"Drama, Comedy",148,Ravi Kiran,"Raj B Shetty, Shilpa Shetty",6.3,,
Kurukshetra,Kannada,09-Aug-19,"Mythological, War, Historical",185,Naganna,Darshan,6.2,7.3,6.75
Pailwaan,Kannada,12-Sep-19,"Action, Sports, Masala",166,S. Krishna,"Sudeepa, Suniel Shetty, Aakanksha Singh",6.2,7.4,6.8
Yajamana,Kannada,14-Feb-19,"Action, Drama",164,V. Harikrishna,"Darshan, Rashmika Mandanna",6.2,,
Damayanthi,Kannada,06-Dec-19,"Thriller, Revenge",161,Navarasan,Chandani Prakash,6.2,,
Vrithra,Kannada,12-Jul-19,"Crime, Thriller",114,Chandra Mohan,"Nithya Shri, Bhavana",6.2,,
Elleidde Illi Tanaka,Kannada,15-Oct-19,"Romance, Drama",138,T. Krishna,"Surya, Nandini",6.2,,
Haftha,Kannada,01-Jun-19,"Crime, Drama",130,S. K. Basavaraj,"Prem, Raksha",6.2,,
Operation Nakshatra,Kannada,20-Sep-19,"Drama, Thriller",120,Madhusudhana K R,"Aditi Prabhudeva, Niranjan Wadeyar",6.1,,
Dasharatha,Kannada,05-Apr-19,"Family, Drama, Legal",122,M.S. Ramesh,V. Ravichandran,6.1,,
Geetha,Kannada,12-Jun-19,"Romance, Drama",148,Shashank,Prajwal Devaraj,6,,
Manaroopa,Kannada,22-Nov-19,"Psychological, Suspense, Thriller",124,Kiran Hegde,"Dileep Gowda, Anusha Rao, Nisha B.R.",6,7.5,6.75
Pencil Box,Kannada,29‑Nov‑2019,Drama,134,Razak Puttur,"Aravind Bolar, Bhojaraj Vamanjoor, Deeksha D. Rai",6,8.2,7.1
