Title,Language,Release Date,Genre(s),Runtime (min),Director(s),Lead Actor(s),IMDb,BMS,Avg Rating
Mad,Telugu,24-Feb-23,"Comedy, Youth",127,Kalyan Shankar,"Rahul Ramakrishna, Prashant Reddy",7.3,8,7.65
ButtaBomma,Telugu,12-Apr-23,"Romance, Comedy",142,Veligonda Srinivas,"Arjun Das, Anikha Surendran",6.6,7.4,7
Agent,Telugu,28-Apr-23,"Action, Spy Thriller",156,Surender Reddy,"Akhil Akkineni, Mammootty, Dino Morea",3.6,5.9,4.75
Tantiram,Telugu,13-Oct-23,"Horror, Fantasy, Mystery",99,Muthyala Meher Deepak,"Srikanth Gurram, Priyanka Sharma, Avinash",6.8*,7.2*,7
Kushi,Telugu,01-Sep-23,"Romance, Comedy, Drama",165,Shiva Nirvana,"Vijay Deverakonda, Samantha Ruth Prabhu",5.4,7,6.2
Balagam,Telugu,20-Sep-23,"Drama, Family",131,Venu Yeldandi,"Nara Rohit, Krithi Shetty",7.9,8.3,8.1
Extra Ordinary Man,Telugu,23-Jun-23,"Comedy, Drama",157,Vakkantham Vamsi,Nithiin,5.1,6,5.55
Dasara,Telugu,30-Mar-23,"Action, Drama, Thriller",156,Srikanth Odela,Nani,6.6,7.4,7
Maa Oori Polimera 2,Telugu,18-Feb-23,"Crime, Thriller",125,debut director,"Abhinav Gomatam, Vinod Kumar",7.1,7.8,7.45
Tiger Nageswara Rao,Telugu,05-Oct-23,"Biopic, Crime, Drama",160,Vidyasagar Raju,"Sundeep Kishan, Ravi Kale",6,7,6.5
Virupaksha,Telugu,29-Jun-23,"Horror, Mystery, Thriller",145,Karthik Varma,Sai Dharam Tej,7.2,8.1,7.65
Waltair Veerayya,Telugu,13-Jan-23,"Action, Drama",155,Bobby Kolli,"Chiranjeevi, Ravi Teja",6.2,7.5,6.85
Aadikeshava,Telugu,11-Aug-23,Drama,125,debut director,Venkatesh Iyer,4.3,6,5.15
Bhagavanth Kesari,Telugu,19-Oct-23,"Action, Drama",164,Anil Ravipudi,"Nandamuri Balakrishna, Kajal Aggarwal",5.8,7,6.4
Skanda,Telugu,28-Sep-23,"Action, Drama",167,Boyapati Sreenu,"Ram Pothineni, Sreeleela, Saiee Manjrekar",4.2,6.8,5.5
Shaakuntalam,Telugu,14-Jul-23,"Mythological, Drama",149,Gunasekhar,"Samantha Ruth Prabhu, Dev Mohan",4.3,6,5.15
Chakravyuham: The Trap,Telugu,11-Aug-23,"Crime, Thriller",111,C.K. Dayanand,"Nithya Menen, Kavya Thapar",7.1,7.8,7.45
Pindam,Telugu,10-Mar-23,"Horror, Supernatural",158,Sai Swaroopa,"Baby Naayi, Munna Simon",6.6,7.2,6.9
Gandeevadhari Arjuna,Telugu,22-Sep-23,"Action, Spy Thriller",137,Praveen Sattaru,Sudheer Babu,5.4,6.5,5.95
Bro,Telugu,11-Aug-23,"Fantasy, Drama",134,Samuthirakani,"Pawan Kalyan, Sai Dharam Tej",6,7.1,6.55
Veera Simha Reddy,Telugu,13-Jan-23,"Action, Drama",170,Gopichand Malineni,Chiranjeevi,4.8,6.4,5.6
Keedaa Cola,Telugu,03-Feb-23,"Comedy, Adventure",145,Priyadarshi Pulikonda,"Anchor Ravi, Tharun Bhascker Dhaassyam",7.3,8.2,7.75
Atharva,Telugu,19-May-23,"Crime, Mystery",116,Krishna Chaitanya,"Sree Vishnu, Pavani Gangireddy",6.6,7,6.8
Devil – The British Secret Agent,Telugu,29-Dec-23,"Action, Mystery, Thriller",144,"Abhishek Nama, Naveen Medaram","Nandamuri Kalyan Ram, Samyuktha Menon, Vasishta N. Simha",6.5,7.1*,6.8
Spy,Telugu,31-Mar-23,"Action, Spy Thriller",135,Vi Anand,"Nikhil Siddhartha, Iswarya Menon",4.7,6,5.35
Gammathu,Telugu,14-Jun-23,"Comedy, Drama",125,Karthik Gattamneni,"Shiva Karthik, Eesha Rebba",6.2,6.8,6.5
Miss Shetty Mr Polishetty,Telugu,07-Sep-23,"Romance, Comedy, Drama",147,Mahesh Babu Pachigolla,"Anushka Shetty, Naveen Polishetty",7,9,8
O Saathiya,Telugu,08-Jun-23,"Romance, Drama",136,Akhil Kumar,"Teja Sajja, Shivani Rajashekar",6,6.5,6.25
Samajavaragamana,Telugu,28-Jul-23,"Comedy, Romance",140,Abhinav Kolli,"Anand Deverakonda, Malvika Sharma",7.4,8.1,7.75
Her: Chapter 1,Telugu,18-Aug-23,"Crime, Thriller",103,Radhakrishna Putham,"Ruhani Sharma, Kamal Kamaraju",6.2,7,6.6
Detective Karthik,Telugu,12-May-23,"Mystery, Thriller",115,Tanuj Gandhi,"Nandamuri Kalyan Ram Jr., Krithi Shetty",5.8,6.4,6.1
Mr. Pregnant,Telugu,10-Nov-23,"Comedy, Fantasy",135,Srinivas Avasarala,"Syed Sohel Ryan, Preeti Asrani",6.3,7.2,6.75
Hunt,Telugu,02-Aug-23,"Action, Thriller",132,Ram→Sai Dinesh,"Sudheer Babu, Arjun Rampal",5.4,6.2,5.8
Mayapetika,Telugu,14-Apr-23,"Anthology, Drama",142,Rahul Ravindran,"Meera Jasmine, Samuthirakani",5,6.7,5.85
Vimanam,Telugu,12-Mar-23,"Family, Drama",142,Pradeep Chilukuri,"Samuthirakani, Meera Jasmine",6.7,7.2,6.95
Ugram,Telugu,05-May-23,"Action, Thriller",146,Vijay Kanakamedala,"Allari Naresh, Avika Gor, Sneha Ullal",6.5,7.4,6.95
Bholaa Shankar,Telugu,29-Jun-23,"Action, Drama",159,Meher Ramesh,Chiranjeevi,3.3,5.5,4.4
Aneethi,Telugu,01-Feb-23,"Drama, Romance",143,Karuna Kumar,"Arjun Das, Dushara Vijayan",6.6,7,6.8
My Name Is Shruthi,Telugu,22-Sep-23,Thriller,130,AFS Martin,Swathi Reddy,6.2,7.1,6.65
Custody,Telugu,21-Apr-23,"Crime, Action",153,Venkat Prabhu,"Naga Chaitanya, Arvind Swamy",5.7,6.8,6.25
Boo,Telugu,27-Oct-23,"Horror, Mystery",200,Bhargav V. Row,Rakul Preet Singh,5,6.2,5.6
Michael,Telugu,15-Jul-23,"Action, Crime",152,Darshan,"Sundeep Kishan, Vijay Sethupathi",5,6.5,5.75
Ala Ila Ela,Telugu,22-Dec-23,"Drama, Romance",141,Satish Tripura Sundari,Vallabhaneni Pallavi,5.8,7,6.4
Spark: L.I.F.E.,Telugu,17-Nov-23,"Action, Thriller",170,Vikranth Reddy,"Vikranth Reddy, Mehreen Pirzada, Rukshar Dhillon",6.8,4.7*,5.75
Das Ka Dhamki,Telugu,21-Jul-23,"Comedy, Thriller",140,Gudapa Govardhan,Vishwak Sen,6.1,7,6.55
Month of Madhu,Telugu,06-Oct-23,"Romance, Drama",140,Srikanth Nagothi,"Naveen Chandra, Swathi Reddy",6.8,8.4,7.6
Perfume,Telugu,25-Aug-23,Psychological Thriller,142,Krishna Madineni,"laga Narayana, Vedha",7.9,7.5,7.7
The Trial,Telugu,15-Jun-23,"Crime, Legal Thriller",99,Chandra Mahaprasad,"Teja Sajja, Shweta Verma",6.3,7.2,6.75
Mem Famous,Telugu,11-Aug-23,"Comedy, Drama",149,Venky Atluri,"Vishwak Sen, Priya Bhavani Shankar",7.1,7.8,7.45
Amigos,Telugu,20-Oct-23,"Comedy, Thriller",139,Rajendra Reddy,"Srikanth Iyengar, Abhinav Gomatam",6,6.5,6.25
Ranga Marthanda,Telugu,22-Mar-23,"Drama, Family",150,Krishna Vamsi,"Prakash Raj, Ramya Krishna",8,9.1,8.55
Rangabali,Telugu,03-Feb-23,"Comedy, Romance",137,Sarthak Dwivedi,"Naga Shaurya, Chandini Chowdary",5,6.7,5.85
Phalana Abbayi Phalana Ammayi,Telugu,15-Sep-23,"Drama, Romance",126,Sridhar Gade,"Srihan, Anupama Parameswaran",4.9,6.2,5.55
Rama Banam (Ramabanam),Telugu,05-May-23,"Action, Drama",139,Sriwass,"Gopichand, Dimple Hayathi, Jagapathi Babu",4.2,7.6,5.9
Kajal Karthika,Telugu,16-Jun-23,"Horror, Thriller",134,[Data not found],"Kajal Aggarwal, Janani Iyer, Regena Cassandra",5.1,6.7*,5.9
Ala Ninnu Cheri,Telugu,28-Apr-23,"Romance, Drama",158,Dinesh Tej,"Dinesh Tej, Hebah Patel, Payal Radhakrishna",6.4,7.2*,6.8
7:11 PM,Telugu,01-Sep-23,"Sci‑Fi, Mystery",142,[Data not found],"Chaitu Madala, Naren Yanamadala, Deepika",5.5,7.5*,6.5
Hidimbha,Telugu,22-Jul-23,"Crime, Thriller",96,[Data not found],[Data not found],6.4,7.3*,6.85
Kota Bommali PS,Telugu,15-Mar-23,"Crime, Thriller",149,[Data not found],[Data not found],7.2,7.8*,7.5
Maama Mascheendra,Telugu,20-Oct-23,"Drama, Revenge",149,[Data not found],[Data not found],4,6.0*,5
Vinaro Bhagyamu Vishnu Katha,Telugu,11-Aug-23,"Romance, Drama",118,[Data not found],[Data not found],6.7,7.5*,7.1
Nene Naa,Telugu,19-May-23,"Mystery, Horror",106,[Data not found],[Data not found],3.9,6.2,5.05
Che (Che Long Live),Telugu,15-Dec-23,"Biopic, Historical, Drama",126,B.R. Sabavat Naik,"Sabavath Balaraju, Lavanya Sameera",7.5,9,8.25
Case 30,Telugu,12-Jul-23,"Crime, Thriller",140,Ram Gopal Varma,"Arjun Bharadwaj, Priya Prakash Varrier",7,7.5*,7.25
Meter,Telugu,03-Mar-23,"Action, Drama",127,Lokesh Cherukuri,"Saketh Komanduri, Shivani Rajashekhar",3.8,5.9*,4.85
Plot,Telugu,23-Jun-23,"Thriller, Drama",160,Rajasimha Tadinada,"Naveen Chandra, Anusha Reddy",6.2,7.0*,6.6
Pareshan,Telugu,14-Apr-23,"Comedy, Drama",127,Rupesh Kumar Narayana,"Thrigun, Komalee Prasad",5.7,6.5*,6.1
Suvarna Sundari,Telugu,28-Jul-23,"Fantasy, Historical",125,Hari-Nagendra,"Siddharth, Reethu Zinta",6.8,7.4*,7.1
Vadu Evadu,Telugu,11-Aug-23,"Thriller, Drama",141,Sai Vunda Reddy,"Ashok Galla, Shalini Pandey",6.4,7.2*,6.8
Anni Manchi Sakunamu,Telugu,18-May-23,"Family, Romance",150,B.V. Nandini Reddy,"Santosh Sobhan, Malvika Nair",6.1,7.9,7
Jorugaa Husharugaa,Telugu,22-Jun-23,"Romance, Comedy",135,Srinivas Avasarala,"Santosh Sobhan, Shivani Rajashekar",6.5,7.3*,6.9
Calling Sahasra,Telugu,01-Dec-23,"Suspense, Thriller",143,Arun Vikkirala,"Sudigali Sudheer, Spandana Palli, Dollysha",5.2,8.8,7
Bedurulanka 2012,Telugu,25-Aug-23,"Comedy, Drama, Action",149,Clax,"Kartikeya, Neha Shetty, Ajay Ghosh",5.8,8,6.9
,,,,,,,,,
Title,Language,Release Date,Genre(s),Runtime,Director(s),Lead Actor(s),IMDb,BMS,Avg Rating
Saptha Sagaradaache Ello – Side A,Kannada,01-Sep-23,"Romance, Drama",2h 22m,Hemanth M. Rao,"Rakshit Shetty, Rukmini Vasanth",8.2,8.9,8.55
Thothapuri: Chapter 2,Kannada,27-Apr-23,"Comedy, Drama",2h 1m,Vijaya Prasad,"Jaggesh, Aditi Prabhudeva",7,7.9,7.45
Saptha Sagaradaache Ello – Side B,Kannada,17-Nov-23,"Romance, Drama",2h 28m,Hemanth M. Rao,"Rakshit Shetty, Rukmini Vasanth",8,9,8.5
Toby,Kannada,25-Aug-23,"Action, Drama",2h 35m,Basil Alchalakkal,"Raj B. Shetty, Samyukta Hornad",7.2,8.4,7.8
Kranti,Kannada,26-Jan-23,"Action, Drama",2h 43m,V. Harikrishna,"Darshan Thoogudeepa, Rachita Ram",5.1,7.6,6.35
Farhana,Kannada (Dubbed),12-May-23,"Thriller, Drama",2h 20m,Nelson Venkatesan,"Aishwarya Rajesh, Anumol",6.3,7.8,7.05
Kaatera,Kannada,29-Dec-23,"Action, Drama",3h 3m,Tharun Kishore Sudhir,"Darshan Thoogudeepa, Aradhana Ram",7.2,8.8,8
Kabzaa,Kannada,17-Mar-23,"Action, Period Drama",2h 14m,R. Chandru,"Upendra, Sudeep, Shivarajkumar",4.7,7.2,5.95
Tatsama Tadbhava,Kannada,15-Sep-23,"Thriller, Mystery",2h 2m,Vishal Atreya,"Meghana Raj, Prajwal Devaraj",7.4,8.4,7.9
Ghost,Kannada,19-Oct-23,"Action, Thriller",2h 12m,M. G. Srinivas,"Shivarajkumar, Jayaram",6.3,8,7.15
Marichi,Kannada,08-Dec-23,2h 9m,Thriller,Siddhruv Siddu,"Vijay Raghavendra, Sonu Gowda, Gopal Deshpande",5.8,5.1,5.45
Hostel Hudugaru Bekagiddare,Kannada,21-Jul-23,2h 24m,Comedy,Nithin Krishnamurthy,"Prajwal BP, Abhi Das, Tejas Jayanna, Rishab Shetty, others",7.2,8.4,7.8
Aachar & Co,Kannada,28-Jul-23,1h 45m,Period Comedy‑Drama,Sindhu Sreenivasa Murthy,"Neethu Shetty, Sourabh Shukla, Manju Raj, Prathap Kumar",7.8,8.8,8.3
Pentagon,Kannada,07-Apr-23,2h 54m,Anthology Drama,Guru Deshpande,"Pruthvi Ambaar, Pramod Shetty, Kishore Kumar G., P. Ravi Shankar",7.6,7.9,7.75
Garadi,Kannada,10-Nov-23,2h 26m,Sports Drama,Yogaraj Bhat,"Darshan Thoogudeepa, Yashas Surya, B. C. Patil, Sonal Monteiro",4.7,9,6.85
Kaiva,Kannada,17-Mar-23,"Action, Drama",2h 18m,Jayatheertha,"Dhanveerrah, Megha Shetty",8.2,8.6,8.4
Marichi,Kannada,03-Mar-23,"Crime, Thriller",2h 9m,Siddhruv,Vijay Raghavendra,5.8,7.5,6.65
Hostel Hudugaru Bekagiddare,Kannada,21-Jul-23,"Comedy, Drama",2h 24m,Nithin Krishnamurthy,"Prajwal B. P., Srivatsa",7.2,8.5,7.85
Aachar & Co,Kannada,28-Jul-23,"Family, Drama",1h 45m,Sindhu Sreenivasa Murthy,"Harshil Koushik, Vamsidhar Bhogaraju",7.8,8.1,7.95
1888,Kannada,18-Aug-23,Thriller,1h 55m,Sourabh Shukla,"Neethu Shetty, Manju Raj",7.5,7.7,7.6
Yadha Yadha Hi,Kannada,02-Jun-23,"Thriller, Crime",2h 11m,Arun Raj,"Hariprriya, Diganth",7.5,8,7.75
Pentagon,Kannada,07-Apr-23,"Anthology, Drama",2h 50m,"Kiran Kumar, Chandra Mohan, Akash Srivatsa, Raghu Shivamogga, Guru Deshpande","Kishore Kumar G., Pruthvi Ambaar",7.6,7.9,7.75
Garadi,Kannada,15-Dec-23,"Action, Sports",2h 26m,Yogaraj Bhat,"Soorya, B. C. Patil",4.7,6.8,5.75
Beega,Kannada,14-Jul-23,Psychological Thriller,~,Moses Prashanth,Akshay Gowda,9.3,9.4,9.35
Kousalya Supraja Rama,Kannada,28-Jul-23,"Romance, Comedy",2h 27m,Shashank,"Darling Krishna, Brinda Acharya",7.1,8.4,7.75
Premam 2Two,Kannada,11-Aug-23,"Romance, Drama",2h 17m,Raghavendra M. Naik,"Siddharth, Rashi",9.3,9.2,9.25
Hondisi Bareyiri,Kannada,10-Mar-23,"Coming-of-age, Drama",2h 25m,Ramenahalli Jagannatha,"Praveen Tej, Bhavana Rao",7.8,8.5,8.15
The Dark Web,Kannada,10-Feb-23,"Crime, Thriller",1h 50m,Venkatesh Reddy D.,Pradeep Doddaiah,8.2,8.8,8.5
Garuda Purana,Kannada,17-Mar-23,"Crime, Mystery",2h 20m,Kiran Kumar,Raj Deepak Shetty,7,8.3,7.65
Aura,Kannada,22-Sep-23,"Mythological, Spiritual",2h 9m,Hari Prasad Jayanna,Master Yashas,9.3,9.5,9.4
Shivaji Surathkal 2,Kannada,14-Apr-23,"Mystery, Crime",2h 15m,Akash Srivatsa,Ramesh Aravind,6.7,8,7.35
Juliet 2,Kannada,24-Feb-23,Thriller,1h 35m,Virat B Gowda,Brinda Acharya,7.9,8.7,8.3
Baanadariyalli,Kannada,28-Sep-23,"Romance, Adventure",2h 29m,Preetham Gubbi,"Ganesh, Rukmini Vasanth",5.7,7.9,6.8
Thugs of Ramaghada,Kannada,15-Sep-23,"Action, Thriller",1h 58m,Raghu Shastry,"Sharath Lohitashwa, Appu",7.8,8.4,8.1
Bengaluru Boys,Kannada,22-Dec-23,"Drama, Youth",2h 22m,Arun ND,"Arjun Yogesh, Yashaswini",6.7,7.9,7.3
Sugar Factory,Kannada,24-Nov-23,"Romance, Comedy",2h 20m,Deepak Aras,"Darling Krishna, Sonal Monteiro",5.5,7.6,6.55
Parimala D'Souza,Kannada,22-Sep-23,"Drama, Thriller",2h 12m,Girish Venkatacharya,"Rajesh Nataranga, Vaishnavi Chandran",8.2,8.9,8.55
Daredevil Musthafa,Kannada,19-May-23,"Drama, Comedy",2h 40m,Shashank Soghal,"Aditya Ashree, Shishir Baikady",7.8,9,8.4
Raaghu,Kannada,28-Jul-23,"Crime, Thriller",1h 33m,M. Anand Raju,Vijay Raghavendra,3.5,7.2,5.35
19.20.21,Kannada,03-Mar-23,"Biography, Political Drama",2h 11m,Mansore,Shrunga BV,8.7,9.1,8.9
Gowli,Kannada,24-Feb-23,"Action, Drama",2h 22m,Soora,Srinagar Kitty,7.2,8.3,7.75
Gurudev Hoysala,Kannada,30-Mar-23,"Action, Crime",2h 10m,Vijay N,"Dhananjaya, Amrutha Iyengar",6.6,8.1,7.35
Chaos,Kannada,24-Nov-23,"Thriller, Mystery",2h 30m,Raghavendra M. Naik,Ramesh Aravind,7.2,8.5,7.85
Spooky College,Kannada,17-Nov-23,"Horror, Thriller",2h 13m,Bharath G,"Kushee Ravi, Vivek Simha",7.7,8.4,8.05
Swathi Mutthina Male Haniye,Kannada,24-Nov-23,"Drama, Romance",1h 41m,Raj B. Shetty,"Siri Ravikumar, Raj B. Shetty",7.3,8.7,8
Photo,Kannada,15-Dec-23,"Drama, Family",1h 37m,Uday Prakash,"Uday Prakash, Teju Belawadi",9.1,9.3,9.2
Tales of Mahanagara,Kannada,23-Jun-23,"Thriller, Anthology",2h 16m,Rajeev Kiran Vaneil,"RJ Pradeepa, Nidhi Hegde",7.5,8.3,7.9
Love Birds,Kannada,17-Feb-23,"Romance, Drama",2h 9m,PC Shekhar,"Krishna, Samyuktha Hornadu",5.4,7.5,6.45
Shri Balaji Photo Studio,Kannada,01-Dec-23,Drama,~,Yashwanth Sardeshpande,Yashwanth Sardeshpande,6,7.6,6.8
Ambuja,Kannada,06-Oct-23,"Drama, Social",2h 0m,Rahul Amin,"Kushee Ravi, Deepak Subramanya",8.7,8.9,8.8
Aggrasena,Kannada,20-Oct-23,"Drama, Revenge",2h 1m,Arvind Sagar,"Vijay Raghavendra, Vikram Ravichandran",8,8.5,8.25
Tagaru Palya,Kannada,27-Oct-23,"Comedy, Drama",2h 10m,Umesh K. Krupa,"Nagabhushana, Tara",6.7,8,7.35
Namo Bhootatma 2,Kannada,10-Nov-23,"Horror, Comedy",2h 21m,Arun Lokanath,"Komal Kumar, Govinde Gowda",4.4,6.7,5.55
David,Kannada,08-Dec-23,"Thriller, Drama",~,Raqueeb Alam,"Pradeep Rane, Reeshma Nanaiah",8.5,8.7,8.6
Bhavapoorna,Kannada,17-Nov-23,Period Drama,2h 6m,Madhu Hegde,"Dattanna, Ramesh Pandit",7.1,8.3,7.7
Damayana,Kannada,01-Dec-23,"Drama, Comedy",1h 56m,Raj Surya,"Atharv Arya, Prerana Kambam",9.1,9.3,9.2
Road King,Kannada,08-Dec-23,"Romance, Drama",1h 40m,Arvind Sagar,"Amith, Amrutha Chowdary",9.5,9.4,9.45
Inamdar,Kannada,15-Dec-23,"History, Drama",~,Raghavendra Rao,"Ravi Bhat, Rajesh Nataranga",9.5,9.1,9.3
Mandala: The UFO Incident,Kannada,10-Nov-23,"Sci-Fi, Mystery",~,Ajay Sarpeshkar,"Prakash Belawadi, Anant Nag",6.9,7.5,7.2
Baang,Kannada,18-Aug-23,"Crime, Comedy",2h 4m,Sree Ganesh Parashuram,"Shanvi Srivastava, Raghu Dixit",3.7,6.9,5.3
School Days,Kannada,29-Dec-23,"Drama, Coming-of-age",2h 14m,Vasanth Kumar,"Master Rohan, Pragna Nayani",8.6,8.9,8.75
IRavan,Kannada,07-Jul-23,"Thriller, Drama",2h 23m,Ramya Sagar,"Jayaram Karthik, Adhvithi Shetty",4.9,7.8,6.35
Shoshite,Kannada,06-Oct-23,Social Drama,1h 44m,Sandeep Sunkad,"Divya Shetty, Sandeep Sunkad",9.8,9.2,9.5
Crazy Keerthy,Kannada,08-Dec-23,"Romance, Drama",~,Bharath Nanda,"Harish Jalagere, Sneha",9.1,9.4,9.25
Veeram,Kannada,07-Apr-23,"Action, Historical",2h 41m,Khadar Kumar S,Prajwal Devaraj,5.7,7.8,6.75
