Title,Language,Release Date,Genre(s),Runtime (min),Director(s),Lead Actor(s),IMDb,BMS,Avg Rating
Hero,Telugu,15-Jan-22,"Action, Romantic Thriller",132,Sriram Adittya,"Ashok Galla, Nidhhi Agerwal",5.7,7.5,6.6
Virata Parvam,Telugu,17-Jun-22,"Drama, Romance, Political Thriller",151,Venu Udugula,"Rana Daggubati, Sai Pallavi",6.6,8.3,7.45
Acharya,Telugu,29-Apr-22,"Action, Drama, Political Thriller",152,Koratala Siva,"Chiranjeevi, Ram Charan, Pooja Hegde, Sonu Sood",3.8,7.1,5.45
Commitment,Telugu,19-Aug-22,"Romance, Drama, Anthology",160,Lakshmikanth Chenna,"Tejaswi Madivada, Anveshi Jain, Amit Tiwari, Simar Singh",7.9,8.2,8.05
Thaggedhe Le,Telugu,04-Nov-22,"Crime, Thriller, Action",128,Srinivas Raju,"Naveen Chandra, Divya Pillai, Ananya Raj, Makrand Deshpande, P. Ravi Shankar",5.9,7.4,6.65
Aadavaallu Meeku Johaarlu,Telugu,04-Mar-22,"Romantic Comedy, Family Drama",139,Kishore Tirumala,"Sharwanand, Rashmika Mandanna, Radhika Sarathkumar",5.9,7.6,6.75
Mukhachitram,Telugu,09-Dec-22,"Courtroom Drama, Psychological Thriller",126,Gangadhar,"Vishwak Sen, Vikas Vasistha, Ayesha Khan, Priya Vadlamani, Chaitanya Rao",6.4,8.1,7.25
Bloody Mary,Telugu,15-Apr-22,"Crime, Thriller, Drama",91,Chandoo Mondeti,"Nivetha Pethuraj, Ajay, Kireeti, Rajkumar Kasireddy",6,7.4,6.7
Mangalyam,Telugu,11-Nov-22,"Action, Romantic Drama",120,Bandi Saroj Kumar,"Himansee Katragadda, Bandi Saroj Kumar",7.9,8.5,8.2
Driver Jamuna,Telugu,30-Dec-22,"Thriller, Action, Drama",104,P. Kinslin,"Aishwarya Rajesh, Aadukalam Naren",5.5,7.1,6.3
Bimbisara,Telugu,05-Aug-22,"Fantasy, Action, Historical",146,Mallidi Vassishta,"Nandamuri Kalyan Ram, Catherine Tresa, Samyuktha Menon",6.8,8.7,7.75
Rowdy Boys,Telugu,14-Jan-22,"Romantic Drama, Action",145,Sree Harsha Konuganti,"Ashish Reddy, Anupama Parameswaran",5.2,7.6,6.4
The Warriorr,Telugu,14-Jul-22,"Action, Crime, Drama",155,N. Lingusamy,"Ram Pothineni, Krithi Shetty, Aadhi Pinisetty",4.8,7.2,6
Rama Rao on Duty,Telugu,29-Jul-22,"Action, Thriller",146,Sarath Mandava,"Ravi Teja, Rajisha Vijayan, Divyansha Kaushik",5.1,7.5,6.3
Dorakuna Ituvanti Seva,Telugu,04-Nov-22,"Crime, Drama, Thriller",114,Kishore,"Vijay Krishna, Pragna Sri, Chatrapathi Sekhar",8.3,8.5,8.4
Bangarraju,Telugu,14-Jan-22,"Fantasy, Drama, Family",150,Kalyan Krishna Kurasala,"Nagarjuna Akkineni, Naga Chaitanya, Ramya Krishnan",5.5,7.9,6.7
Krishna Vrinda Vihari,Telugu,23-Sep-22,"Romantic Comedy, Family",139,Anish R Krishna,"Naga Shaurya, Shirley Setia, Radhika Sarathkumar",5.8,8.1,6.95
Ashoka Vanamlo Arjuna Kalyanam,Telugu,06-May-22,"Romantic Comedy, Family Drama",149,Vidya Sagar Chinta,"Vishwak Sen, Rukshar Dhillon, Ritika Nayak",7.4,8.6,8
Intinti Ramayanam,Telugu,09-Jun-22,"Family Drama, Comedy",122,Suresh Naredla,"Naresh, Rahul Ramakrishna, Navya Swamy",6.8,8.1,7.45
Nathicharami,Telugu,28-Oct-22,"Romantic Drama, Thriller",95,Nagu Gavara,"Arvind Krishna, Poonam Kaur",7.5,8.2,7.85
Ori Devuda,Telugu,21-Oct-22,"Fantasy, Romantic Comedy",143,Ashwath Marimuthu,"Vishwak Sen, Mithila Palkar, Asha Bhat, Venkatesh Daggubati",7.1,8.4,7.75
Saakini Daakini,Telugu,16-Sep-22,"Action, Comedy, Thriller",115,Sudheer Varma,"Regina Cassandra, Nivetha Thomas",6,7.9,6.95
Kanam,Telugu,09-Sep-22,"Sci-Fi, Drama, Emotional Thriller",160,Shree Karthick,"Sharwanand, Ritu Varma, Amala Akkineni",7.8,8.6,8.2
Godse,Telugu,17-Jun-22,"Action, Political Thriller",145,Gopiganesh Pattabhi,"Satyadev Kancharana, Aishwarya Lekshmi",5.7,7.8,6.75
First Day First Show,Telugu,02-Sep-22,"Romantic Comedy, Youth Drama",119,"Vamsidhar Goud, Lakshminarayana Puttamchetty","Srikanth Reddy, Sanchita Bashu",4.9,7.2,6.05
Aasha Encounter,Telugu,01-Jan-22,"Crime, Drama, Based on True Events",83,Anand Chandra,"Sonia Akula, Srikanth Iyengar, Praveen",7.3,8.3,7.8
BhamaKalapam,Telugu,11-Feb-22,"Crime, Comedy, Drama",135,Abhimanyu Tadimeti,"Priyamani, John Vijay, Sharanya Pradeep",6.3,7.9,7.1
Thank You,Telugu,22-Jul-22,"Drama, Romance",126,Vikram Kumar,"Naga Chaitanya, Raashii Khanna, Malavika Nair",6,7.6,6.8
Swathi Muthyam,Telugu,05-Oct-22,"Romantic Comedy, Family",122,Lakshman K Krishna,"Bellamkonda Ganesh Babu, Varsha Bollamma",6.7,8.1,7.4
Korameenu,Telugu,31-Dec-22,"Action, Drama, Romance",124,Sripathy Karri,"Anand Ravi, Harish Uthaman, Kishori Dhatrak",6.9,8.2,7.55
Darja,Telugu,22-Jul-22,"Action, Crime, Drama",130,Saleem Malik,"Sunil, Anasuya Bharadwaj",6.3,7.9,7.1
Atithi Devobhava,Telugu,07-Jan-22,"Romance, Drama, Psychological",133,Polimera Nageshawar,"Aadi Sai Kumar, Nuveksha",5.6,7.5,6.55
Clue,Telugu,01-Jul-22,"Socio-Fantasy, Thriller, Adventure",111,Karunakar A,"Raja Ravindra, Sayaji Shinde, Madhu Nambiar, Sabina Jasmin, Sanjana Naidu",7.2,8.4,7.8
Induvadana,Telugu,01-Jan-22,"Romantic Thriller, Drama",125,M.S.R.,"Varun Sandesh, Farnaz Shetty",4.4,6.8,5.6
Highway,Telugu,19-Aug-22,"Crime, Thriller, Mystery",120,K.V. Guhan,"Anand Deverakonda, Manasa Radhakrishnan",4,6.7,5.35
Kerosene,Telugu,17-Jun-22,"Crime Thriller, Investigative",120,Sai Ram Challa,"Dhruva, Brahmaji, Preethi Sharma",7.4,8.6,8
Gully Gang,Telugu,05-Aug-22,"Romantic, Drama, Real Life Inspired",100,Yuvaraj Ponnala,"Prajwal Yadma, Bhanu Teja, Meesala Lakshman, Anil Inamadugu",6.6,7.8,7.2
Butterfly,Telugu,29-Dec-22,"Crime, Mystery, Thriller",107,Ghanta Satish Babu,"Anupama Parameswaran, Nihal Kodhaty",4.7,6.9,5.8
Cheppalani Undhi,Telugu,09-Dec-22,"Sci-Fi, Comedy, Drama",142,Arun Barathi L,"Yash Puri, Stefy Patel, Tanikella Bharani",5.4,7.3,6.35
Good Luck Sakhi,Telugu,28-Jan-22,"Sports Drama, Comedy, Romance",130,Nagesh Kukunoor,"Keerthy Suresh, Aadhi Pinisetty, Jagapathi Babu",5.3,7.6,6.45
Pakka Commercial,Telugu,01-Jul-22,"Action, Comedy, Courtroom Drama",152,Maruthi,"Gopichand, Raashi Khanna, Sathyaraj",4.2,6.8,5.5
Bhala Thandanana,Telugu,06-May-22,"Crime, Thriller, Action",134,Chaitanya Dantuluri,"Sree Vishnu, Catherine Tresa",5.3,7.4,6.35
,,,,,,,,,
K.G.F: Chapter 2,Kannada,14-Apr-22,"Action, Period, Thriller",166,Prashanth Neel,"Yash, Sanjay Dutt, Srinidhi Shetty, Raveena Tandon, Prakash Raj (Wikipedia, BookMyShow, JH Movie Collection)",8.2,8.4*,8.3*
777 Charlie,Kannada,10-Jun-22,"Adventure, Comedy‑Drama",164,Kiranraj K,"Rakshit Shetty, Charlie (dog), Sangeetha Sringeri, Raj B. Shetty",8.7,8.5*,8.6*
Kantara,Kannada,30-Sep-22,"Adventure, Drama, Thriller",150,Rishab Shetty,"Rishab Shetty, Achyuth Kumar, Sapthami Gowda, Pramod Shetty",8.2,8.6*,8.4*
Garuda,Kannada,20-May-22,"Action, Drama, Thriller",142,Dhana Kumar K,"Siddharth Mahesh, Srinagar Kitty, Aindrita Ray, Ashika Ranganath",6.5,9.6*,8.05*
Vikrant Rona,Kannada,28-Jul-22,"Action, Mystery, Thriller",147,Anup Bhandari,"Sudeep, Nirup Bhandari, Neetha Ashok, Jacqueline Fernandez",6.9,7.8*,7.35*
James,Kannada,17-Mar-22,"Action, Thriller",149,Chethan Kumar,"Puneeth Rajkumar, Priya Anand",7.3,8.5*,7.9
By Two Love,Kannada,18-Feb-22,"Romantic Comedy, Drama",141 (2h 21m),Hari Santhosh,"Dhanveerah, Sreeleela",4.8,7.6,6.2
Dheeran,Kannada,27-May-22,"Action, Drama, Thriller",139 (2h 19m),Swamy Y B N,"Swamy YBN, Laksha Shetty, Pramod Shetty",8.5,8.2*,8.35
Love Mocktail 2,Kannada,11-Feb-22,Romantic Drama,138 (2h 18m),Darling Krishna,"Darling Krishna, Milana Nagaraj, Rachel David",7.4,8.6*,8
Vedha,Kannada,23-Dec-22,"Action, Drama, Revenge Thriller",156,A. Harsha,"Shiva Rajkumar, Ganavi Laxman, Aditi Sagar",6.7,7.8*,7.25
Banaras,Kannada,04-Nov-22,"Mystery, Romance",160,Jayatheertha,"Zaid Khan, Sonal Monteiro, Sujay Shastry, Devaraj",6.3,8.5¹,7.4
Dr. 56,Kannada,14-Oct-22,"Crime, Mystery, Thriller",105²,Rakesh Kadri³,"Priyamani, Kiran Srinivas, Nagendra Prasad",6.8,7.5¹,7.15
Monsoon Raaga,Kannada,10-Jun-22,Romantic Drama,135,S.S. Nagendra Babu,"Dhananjaya, Rachita Ram",7.1,8.2¹,7.65
Gaalipata 2,Kannada,28-Jul-22,"Romantic Comedy, Drama",151,Yogaraj Bhat,"Ganesh, Diganth, Pawan Kumar",6,7.8¹,6.9
One Cut Two Cut,Kannada,03-Feb-22,"Comedy, Satire",89,Vamsidhar Bhogaraju⁴,"Danish Sait, Prakash Belawadi",4.6,7.8¹,6.2
Thothapuri: Chapter 1,Kannada,30-Sep-22,Romantic Comedy,111,Vijaya Prasad,"Jaggesh, Aditi Prabhudeva, Dhananjay, Suman Ranganathan",4.6,7.1²,5.85
Avatar Purusha,Kannada,06-May-22,Supernatural Comedy Thriller,129,Suni,"Sharan, Ashika Ranganath, P. Sai Kumar, Srinagar Kitty",6.3,8.0²,7.15
Chase in the Dark,Kannada,15 Jun 2022³,Crime Thriller,143,Vilok Shetty,"Radhika Narayan, Avinash S. Divakar",7.6,8.2²,7.9
Yellow Gangs,Kannada,11 Nov 2022⁴,Crime Drama Thriller,133,R. Parameshwarappa,"Archana Kottige, Dev Devaiah, Bala Rajwadi",7.1,8.1,7.6
Tootu Madike,Kannada,8 Jul 2022⁵,"Comedy, Mystery, Thriller",130,Chandra Keerthi M,"Pramod Shetty, Chandra Keerthi, Paavana Gowda",7,9.6¹,8.3
Head Bush,Kannada,21-Oct-22,"Crime, Drama, Biography, Action",138,Shoonya,"Dhananjaya, Payal Rajput, V. Ravichandran, Devaraj",6,7.4²,6.7
Hope,Kannada,08-Jul-22,Legal Drama,141,Ambarish M,"Shwetha Srivatsav, Sumalatha Ambareesh, Pramod Shetty, Prakash Belavadi",7.3,8.1*,7.7*
Petromax,Kannada,15-Jul-22,Comedy Drama,134,Vijaya Prasad,"Sathish Ninasam, Hariprriya, Karunya Ram",5,7.6*,6.3
Shivamma,Kannada,14 Jun 2022¹,Drama,107,Jaishankar Aryar,"Sharanamma Chetti, Chennamma Abbegere",7.6,8.2*,7.9
Thurthu Nirgamana,Kannada,24-Jun-22,"Fantasy Drama, Time‑Loop Thriller",137,Hemanth Kumar L,"Sunil Raoh, Samyuktha Hegde, Sudharani",7.1,8.3*,7.7
Tanuja,Kannada,01-Feb-22,Biographical Drama,110,Harish M.D. Halli,Saptha Pavoor,8.1,8.5*,8.3
Wedding Gift,Kannada,08-Jul-22,"Thriller, Drama",139,Vikram Prabhu,"Nishan Nanaiah, Sonu Gowda, Prema",8.4,8.0¹,8.2
Bhavachitra,Kannada,18-Feb-22,"Mystery, Thriller",146,Girish Kumar B,"Chakravarthy Reddy, Ganavi Laxman, Avinash Yelandur",8,7.9²,7.95
Ravi Bopanna,Kannada,12-Aug-22,"Drama, Thriller",120,V. Ravichandran,"V. Ravichandran, Kichcha Sudeepa, Ramya Krishnan",3.4,5.0³,4.2
Kshamisi Nimma Khaatheyalli Hanavilla,Kannada,29-Apr-22,"Comedy, Drama",119,Vinayaka Kodsara,"Diganth, Aindrita Ray, Ranjani Raghavan",5.9,7.3⁴,6.6
Blank,Kannada,25-Feb-22,"Sci‑Fi, Psychological Thriller",120,SJay,"Krishi Thapanda, Prashanth Siddi, Bharat Hassan",8.6,8.3⁵,8.45
Wedding Gift,Kannada,08-Jul-22,"Thriller, Drama",139,Vikram Prabhu,"Nishan Nanaiah, Sonu Gowda, Prema",8.4,8.0¹,8.2
Bhavachitra,Kannada,18-Feb-22,"Mystery, Thriller",146,Girish Kumar B,"Chakravarthy Reddy, Ganavi Laxman, Avinash Yelandur",8,7.9²,7.95
Ravi Bopanna,Kannada,12-Aug-22,"Drama, Thriller",120,V. Ravichandran,"V. Ravichandran, Kichcha Sudeepa, Ramya Krishnan",3.4,5.0³,4.2
Kshamisi Nimma Khaatheyalli Hanavilla,Kannada,29-Apr-22,"Comedy, Drama",119,Vinayaka Kodsara,"Diganth, Aindrita Ray, Ranjani Raghavan",5.9,7.3⁴,6.6
Blank,Kannada,25-Feb-22,"Sci‑Fi, Psychological Thriller",120,SJay,"Krishi Thapanda, Prashanth Siddi, Bharat Hassan",8.6,8.3⁵,8.45
Buddies,Kannada,24-Jun-22,"Drama, Thriller",140,Gurutej Shetty,"Kiran Raj, Siri Prahlad, Arvind Bolar",9.4,9.8,9.6
Dhamaka,Kannada,02-Sep-22,"Action, Thriller",119,Lakshmi Ramesh¹,"Shivraj K. R. Pete, Nayana, Siddu Moolimani",9,9.2,9.1
Love 360,Kannada,19-Aug-22,"Romantic, Thriller",133,Shashank,"Praveen Kumar, Rachana Inder",6.8,8.9,7.85
Guru Shishyaru,Kannada,23-Sep-22,"Sports, Drama",155,Jadesh K. Hampi,"Sharan, Nishvika Naidu, Suresh Heblikar",7.8,9.5,8.65
Prayashaha,Kannada,09-Dec-22,"Crime, Suspense",127,Ranjith Rao,"Rahul Amin, Krishnaa Bhat, Madhu Hegde",6.9,8,7.45
Window Seat,Kannada,01-Jul-22,"Romantic, Suspense, Thriller",135,Sheetal Shetty,"Nirup Bhandari, Sanjana Anand, Amrutha Iyengar",6.3,7.4¹,6.85
Sri Ranga,Kannada,22-Jul-22,Drama,98,Venkat Bharadwaj,"Rachana Rai, Naveen Shenoy, Yamuna Srinidhi",4.9,7.9²,6.4
Made in Bengaluru,Kannada,30-Dec-22,Drama,169,B. Suresha,"Nikhil Kumar, Ashwini Prakash",6.6,9.2³,7.9
Taledanda,Kannada,01-Apr-22,Drama,132,Praveen Krupakar,Sanchari Vijay,8.3,8.3⁴,8.3
10,Kannada,16-Dec-22,"Sports, Drama",126,Karm Chawla,"Vinod Kumar, Roshni Prakash",7,7.1⁵,7.05
Wheel Chair Romeo,Kannada,27-May-22,Comedy,147,Nataraj G.,"Ram Chethan, Mayuri Kyatari",7.9,8.1¹,8
Saddu Vicharane Nadeyuttide,Kannada,25-Nov-22,"Drama, Suspense, Thriller",139,Bhaskar R,"Prithviraj, Paavana Gowda",5,8.3²,6.65
Man of the Match,Kannada,05-May-22,"Satire, Black Comedy",115,D. Satya Prakash,"Nataraj S. Bhat, Dharmanna Kadur",5.9,7.6³,6.75
Fantasy,Kannada,02-Sep-22,Psychological Thriller,99,Pavan Kumar R,"Anuraag S. Patil, Priyanka Shivanna",5.3,7.4⁴,6.35
Harikathe Alla Girikathe,Kannada,23-Jun-22,"Comedy, Drama",125,"Karan Ananth, Anirudh Mahesh","Rishab Shetty, Rachana Inder",6.6,8.2⁵,7.4
Bairagee,Kannada,01-Jul-22,"Action, Drama",135,Vijay Milton,"Shiva Rajkumar, Anjali, Dhananjay",6.4,8.8,7.6
Raana,Kannada,11-Nov-22,"Action, Thriller",120,Nanda Kishore,"Shreyas Manju, Reeshma Nanaiah",6.7,9.3,8
Yellow Board,Kannada,21-Oct-22,Drama,157,L. Rajesh,"Prakash Thuminad, Dattanna",7.7,7.3,7.5
Abbara,Kannada,15-Dec-22,Action,148,K Ram Narayan,"Prajwal Devaraj, Rajshri Ponnappa",5.8,9.3,7.55
Dollu,Kannada,26-Aug-22,Drama,106,Sagar Puranik,"Karthik Mahesh, Nidhi Hegde",7.2,9.5,8.35
