Title,Language,Release Date,Genre(s),Runtime (min),Director(s),Lead Actor(s),IMDb,BMS,Avg Rating
Pushpa: The Rule – Part 2,Telugu,15-Aug-24,"Action, Crime, Thriller",201,Sukumar,"Allu Arjun, Rashmika Mandanna, Fahadh Faasil",6.1,8.5,7.3
Devara: Part 1,Telugu,10-Oct-24,"Action, Thriller",176,Koratala Siva,"Jr. NTR, Janhvi Kapoor, Saif Ali Khan",6,8.1,7.05
Manamey,Telugu,07-Jun-24,"Drama, Comedy, Romance",155,Sriram Adittya,"Sharwanand, Krithi Shetty",5.3,8,6.65
The Family Star,Telugu,05-Apr-24,"Family, Drama",159,Parasuram,"Vijay Deverakonda, Mrunal Thakur",5.4,8.2,6.8
Guntur Kaaram,Telugu,12-Jan-24,"Action, Family Drama",159,Trivikram Srinivas,"Mahesh Babu, Sreeleela, Meenakshi Chaudhary",5.4,8,6.7
Saripodhaa Sanivaaram,Telugu,29-Aug-24,"Action, Thriller",166,Vivek Athreya,"Nani, Priyanka Mohan, SJ Suryah",7,8.7,7.85
Hanu Man,Telugu,12-Jan-24,"Action, Fantasy, Superhero",158,Prasanth Varma,"Teja Sajja, Amritha Aiyer, Varalaxmi Sarathkumar",7.7,9.2,8.45
Fear,Telugu,14-Dec-24,"Horror, Psychological",115,Srinivas Reddy,"Anasuya Bharadwaj, Arvind Krishna",8.1,—,8.1
Lopaliki Ra Chepta,Telugu,Mar-24,"Romance, Drama",112,Ramesh Varma,"Viraj Ashwin, Bhavana Vazhapandal",8.1,9.3,8.7
Siddharth Roy,Telugu,23-Feb-24,"Drama, Romance, Thriller",148,V Yeshasvi,"Deepak Saroj, Tanvi Negi",6.3,—,6.3
Kalinga,Telugu,Sep-24,"Horror, Thriller",116,Pavan Basamsetti,"Nandamuri Taraka Ratna, Harika N",6.6,—,6.6
Drinker Sai,Telugu,27-Dec-24,"Drama, Comedy, Romance",148,Arun Kumar,"Sai Kumar, Roshini Sahota",8.8,—,8.8
Average Student Nani,Telugu,02-Aug-24,"Drama, Youth, Comedy",138,Praneeth,"Rahul Vijay, Richa Joshi",7.5,9.3,8.4
35-Chinna Katha Kaadu,Telugu,06-Sep-24,"Family, Emotional Drama",145,Suresh Bobbili,"Anasuya Bharadwaj, Master Roshan",7.9,9.1,8.5
Razakar: The Silent Genocide of Hyderabad,Telugu,01-Mar-24,"History, Political Drama",166,Yata Satyanarayana,"Bobby Simha, Anasuya Bharadwaj, Makrand Deshpande",7.3,8.5,7.9
KA,Telugu,Jan-24,"Thriller, Horror",151,Prasanth Reddy,"Vamsi Krishna, Sharan Kumar",7,—,7
Committee Kurrollu,Telugu,09-Aug-24,Drama,156,Yadhu Vamsi,"Sandeep Saroj, Pendyala, Tejaswi Rao",8.1,9.3,8.7
Bhaje Vaayu Vegam,Telugu,31-May-24,"Action, Thriller",136,Prashanth Reddy,"Kartikeya Gummakonda, Iswarya Menon, Rahul Haridas",6.1,8.9,7.5
Bachhala Malli,Telugu,20-Dec-24,"Action, Drama",140,Subbu Mangadevvi,"Allari Naresh, Amritha Aiyer, Rao Ramesh",8.2,7.9,8.05
Double iSmart,Telugu,15-Aug-24,"Action, Sci‑Fi, Thriller",156,Puri Jagannadh,"Ram Pothineni, Sanjay Dutt",2.9,6.7,4.8
Tantra,Telugu,15-Mar-24,"Horror, Supernatural, Thriller",136,Srinivas Gopisetti,"Ananya Nagalla, Dhanush Raghumudri",4.9,4.9*,4.9
Tillu Square,Telugu,29-Mar-24,"Comedy, Romance, Drama",137,Mallik Ram,"Sidhu Jonnalagadda, Neha Shetty, Priyanka Jawalkar",6.6,9.1,7.85
Eagle,Telugu,09-Feb-24,"Action, Drama, Thriller",159,Sriram Venu,Ravi Teja,5.9,5.9*,5.9
Janaka Aithe Ganaka,Telugu,12-Oct-24,"Comedy, Drama",138,Sandeep Reddy Bandla,"Suhas, Sangeerthana Vipin, Vennela Kishore, Rajendra Prasad",7.6,8.9,8.25
Love Me,Telugu,25-May-24,"Horror, Fantasy, Romance",128,Arun Bhimavarapu,"Ashish Velamkucha, Vaishnavi Chaitanya",4.3,6.9,5.6
Swag,Telugu,04-Oct-24,"Comedy, Thriller",150,Hasith Goli,"Sree Vishnu, Ritu Varma, Meera Jasmine",7.5,—,7.5
Ambajipeta Marriage Band,Telugu,02-Feb-24,"Comedy, Drama",144,—,"Suhas, Shivani Nagaram, Goparaju Ramana",6.6,8.9,7.75
Gaami,Telugu,08-Mar-24,"Adventure, Fantasy, Thriller",147,—,"Vishwak Sen, Chandini Chowdary",6.3,—,6.3
Srikakulam Sherlockholmes,Telugu,25-Dec-24,"Comedy, Mystery",125,Vennapusa Ramana Reddy,"Siya Gowtham, Vennela Kishore, Ananya Nagalla",7.9,7.5,7.7
Kaliyugam Pattanamlo,Telugu,29-Mar-24,"Mystery, Thriller",150,Ramakhanth Reddy,"Vishva Karthikeya, Aayushi Patel",6.6,7.9,7.25
Roti Kapda Romance,Telugu,28-Nov-24,"Comedy, Drama, Romance",153,Harsha Narra,"Sandeep Saroj, Supraj Ranga, Tarun Ponugoti",5.9,8,6.95
Ramnagar Bunny,Telugu,2024 (TBA),"Comedy, Drama, Romance",148,Prabhakar Podakandla,Chandrahas,6.8,7.3,7.05
Viswam,Telugu,11-Oct-24,"Action, Comedy, Drama",155,Sreenu Vaitla,"Tottempudi Gopichand, Kavya Thapar",4.2,8.5,6.35
Saindhav,Telugu,13-Jan-24,"Action, Drama",138,Sailesh Kolanu,"Venkatesh, Nawazuddin Siddiqui",5,8.3,6.65
Ooru Peru Bhairavakona,Telugu,16-Feb-24,"Adventure, Fantasy, Thriller",133,Vi Anand,"Sundeep Kishan, Varsha Bollamma",5.7,8.6,7.15
Bhimaa,Telugu,08-Mar-24,"Action, Drama",141,—,"Gopichand, Priya Bhavani Shankar",5.1,8.9,7
Rewind,Telugu,18-Oct-24,"Romance, Sci‑Fi, Thriller",135,Sai Rajesh,"Sai Ronak, Amrutha Chowdary",7.5,—,7.5
Darling,Telugu,19-Jul-24,"Romantic Comedy, Drama",159,Aswin Raam,"Priyadarshi Pulikonda, Nabha Natesh",5.2,8.4,6.8
Maruthi Nagar Subramanyam,Telugu,23-Aug-24,Comedy Drama,147,Lakshman Karya,"Rao Ramesh, Ankith Koyya, Indraja",7.7,9,8.35
Operation Raavan,Telugu,26-Jul-24,"Crime, Mystery, Thriller",147,Venkata Satya,"Rakshit Atluri, Sangeerthana Vipin",7.7,9.4,8.55
Yagna,Telugu,23-Aug-24,"Horror, Thriller",131,Chittajallu Prasad,—,6.3,8.2,7.25
Gangs of Godavari,Telugu,31-May-24,"Action, Crime, Drama",165,Chaitanya Krishna,Vishwak Sen,4.9,7.7,6.3
Bhale Unnade,Telugu,13-Sep-24,Romantic Drama,137,—,—,9,8.7,8.85
Nee Dhaarey Nee Katha,Telugu,14-Jun-24,"Comedy, Drama",123,—,"Anjana Balaji, Priyatham Maanthini",8.7,8.8,8.75
Dhoom Dhaam,Telugu,08-Nov-24,"Comedy, Family, Drama",142,Macha Saikishor,"Chetan Maddineni, Hebah Patel, Vennela Kishore",6.6,7.1,6.85
Geethanjali Malli Vachindi,Telugu,11-Apr-24,"Comedy, Horror",144,Shiva Turlapati,"Anjali, Sunil, Srinivasa Reddy",4.8,—,4.8
Tenant,Telugu,19-Apr-24,"Mystery, Thriller",96,Y. Yugandhar,"Satyam Rajesh, Megha Chowdhury",4.4,9.2,6.8
Love Li,Kannada,23/02/24,"Action, Romance",168,Chethan Keshav,"Vasishta N. Simha, Stefy Patel",6.4,7.4,6.9
Bagheera,Kannada,08/03/24,"Action, Thriller",158,Dr. Suri,"Sriimurali, Rukmini Vasanth",6.7,7.5,7.1
Blink,Kannada,09/02/24,"Sci-Fi, Thriller",136,Srinidhi Bengaluru,"Dheekshith Shetty, Chaithra J",6.9,7.7,7.3
Karki,Kannada,17/05/24,"Drama, Social",153,Praveen V.K,"Jai Prakash, Aryan",8.6,8.4,8.5
UI,Kannada,2024-12-31*,"Fantasy, Mystery",135,Upendra,"Upendra, Reeshma Nanaiah",6.8,,6.8
Bhairathi Ranagal,Kannada,15/03/24,"Action, Biography",150,Narthan,Shiva Rajkumar,6.9,8.2,7.6
Case of Kondana,Kannada,05/04/24,"Crime, Thriller",143,Deviprasad Shetty,"Vijay Raghavendra, Bhavana",5.8,7.2,6.5
Max,Kannada,22/03/24,"Action, Drama",132,Vamsidhar Bhogaraju,Mahakshay Chakraborty,7.1,7.6,7.4
Martin,Kannada,31/05/24,"Action, War",147,A.P. Arjun,Dhruva Sarja,2.2,5.8,4
Ibbani Tabbida Ileyali,Kannada,16/02/24,"Romance, Drama",160,Anil Kumar,"Ankita Amar, Vihan Gowda",7.4,7.6,7.5
Megha,Kannada,29-Nov-24,"Romance, Drama",150,Charan H. R.,"Kiran Raj, Kaajal Kunder, Rajesh Nataranga",6.1,6.1,6.1
Shakhahaari,Kannada,2024,"Crime, Drama",145,Sandeep Sunkad,"Rangayana Raghu, Gopalkrishna Deshpande",7.5,7.5,7.5
Hagga,Kannada,2024,"Mystery, Supernatural",131,Avinash N.,"Anu Prabhakar, Harshika Poonacha, Avinash",8.7,8.7,8.7
Kerebete,Kannada,15-Mar-24,Drama,151,Rajguru B.,"Gowrishankar SRG, Gopin Deshpande, Gowri Shankar",6.5,6.5,6.5
Naale Rajaa Koli Majaa,Kannada,09-May-24,"Adventure, Comedy",91,Abhilash Shetty,"Samrudhi Kundapura, Prabhakar Kunder",8.2,8.2,8.2
Bheema,Kannada,09-Aug-24,"Action, Crime, Drama",148,Vijay Kumar (Duniya Vijay),Duniya Vijay,5.7,5.7,5.7
KTM,Kannada,16-Feb-24,"Romance, Drama",149,Aruna,"Sanjana Doss, Kaajal Kunder, Dheekshith Shetty",6.5,6.5,6.5
Krishnam Pranaya Sakhi,Kannada,15-Aug-24,"Romance, Comedy",159,Srinivas Raju,"Ganesh, Malavika Nair, Sharanya Shetty",7.4,7.4,7.4
4N6,Kannada,10-May-24,"Thriller, Mystery",117,Darshan Srinivas,"Rachana Inder, Naveen Kumar Mahadev",9.4,9.4,9.4
Happily Married,Kannada,2024,"Drama, Mystery, Thriller",90,"Arunkumar M, Sabu Aloysius","Pruthvi Ambaar, Manvita Kamath",4.7,4.7,4.7
Ugravatara,Kannada,01-Nov-24,"Crime, Drama",122,Guru Murthy,"Priyanka Upendra, Suman",8.5,,8.5
Aaram Aravinda Swamy,Kannada,22-Nov-24,Romantic Comedy,132,Abhishek Shetty,"Anissh, Milana Nagaraj",9.3,9.4,9.35
Naalkane Aayama,Kannada,19-Apr-24,"Thriller, Supernatural",108,Gowtham R.,"Aryan, Rachana Inder",7.2,9.3,8.25
Yuva,Kannada,29-Mar-24,"Action, Drama",153,Santhosh Ananddram,"Dhananjaya, Sapthami Gowda",5.7,9.1,7.4
Uttarakaanda,Kannada,2024 (TBA),"Action, Crime, Thriller",150 (est.),Rohith Padaki,"Dhananjaya, Aishwarya Rajesh",6,9.1,7.55
O2,Kannada,19-Apr-24,Medical Thriller,105,"Raghav Nayak, Prashanth Raj","Ashika Ranganath, Praveen Tej",6.6,9.2,7.9
Murphy,Kannada,18-Oct-24,"Drama, Sci‑Fi",136,B. S. P. Varma,"Prabhu Mundkur, Roshini Prakash",7,,7
Marigold,Kannada,05-Apr-24,"Comedy, Thriller",127,Raghavendra M. Naik,"Diganth, Sangeetha Sringeri",8.5,9.5,9
Back Benchers,Kannada,19-Jul-24,"Comedy, Drama",125,R. K. Manohar,"Dhanveerrah, Ananya",9.2,8.9,9.05
Jog 101,Kannada,2024 (TBA),"Mystery, Drama",107,Abhaya Simha,"Vikram Ravichandran, Meghana Gaonkar",6.6,,6.6
Ronny – The Ruler,Kannada,12-Sep-24,"Crime, Drama",148,Gurutej Shetty,"Kiran Raj, Ravi Shankar P., Yash Shetty",9.1,9.5,9.3
Bachelor Party,Kannada,26-Jan-24,"Comedy, Adventure",145,Abhijit Mahesh,"Diganth, Yogesh, Achyuth Kumar",5.2,8.2,6.7
Dhruvathaare,Kannada,20-Sep-24,Romantic Drama,165,Pratheek,"Pratheek, Moulya Shree, Karthik Mahesh",8,9.9,8.95
Naa Ninna Bidalaare,Kannada,29-Nov-24,"Horror, Thriller",142,Naveen G S.,"Ambali Bhaarti, Panchi S, K S Sridhar",7.1,9.5,8.3
Juni,Kannada,09-Feb-24,Romantic Drama,138,Vaibhav Mahadev,"Pruthvi Ambaar, Rishika Naik",7.3,7.8,7.55
Tenant,Kannada,22-Nov-24,"Crime, Mystery, Thriller",99,—,"Dharma Keerthiraj, Tilak Shekhar, Sonu Gowda",3.6,8.1,5.85
Kaalapatthar,Kannada,13-Sep-24,"Drama, Thriller",113,Vikky Varun,"Vikky Varun, Dhanya Ramkumar",6.2,9,7.6
Somu Sound Engineer,Kannada,15-Mar-24,Drama,132,Abhi,"Shreshta Basavaraj, Nivishka Patil, Yash Shetty",8.8,9.9,9.35
Kappu Bilupina Naduve,Kannada,23-Feb-24,"Horror, Thriller",136,Vasanth Vishnu,—,8.3,9.8,9.05
Bachelor Party,Kannada,26-Jan-24,"Comedy, Adventure",145,Abhijit Mahesh,"Diganth, Yogesh, Achyuth Kumar",5.2,8.2,6.7
Dhruvathaare,Kannada,20-Sep-24,Romantic Drama,165,Pratheek,"Pratheek, Moulya Shree, Karthik Mahesh",8,9.9,8.95
Naa Ninna Bidalaare,Kannada,29-Nov-24,"Horror, Thriller",142,Naveen G S.,"Ambali Bhaarti, Panchi S, K S Sridhar",7.1,9.5,8.3
Juni,Kannada,09-Feb-24,Romantic Drama,138,Vaibhav Mahadev,"Pruthvi Ambaar, Rishika Naik",7.3,7.8,7.55
Tenant,Kannada,22-Nov-24,Crime Thriller,99,—,"Dharma Keerthiraj, Tilak Shekhar, Sonu Gowda",3.6,8.1,5.85
Pepe,Kannada,30-Aug-24,Social Drama,126,Shreelesh S. Nair,Vinay Rajkumar,5,8.8,6.9
Kaalapatthar,Kannada,13-Sep-24,"Drama, Thriller",113,Vikky Varun,"Vikky Varun, Dhanya Ramkumar",6.2,9,7.6
